claim_line_id,claim_id,line_number,part_number,vmrs_component_code,vmrs_cause_code,vmrs_correction_code,quantity,unit_cost,line_total,labor_hours,srt_standard_hours,labor_variance_pct,cost_variance_pct,repair_type
CL-000058,WC-2023000030,1,A-001-997-60-12,045,02,04,1,2089.67,2089.67,1.4,1.6,-12.5,-0.5,Standard
CL-000059,WC-2023000030,2,A-680-480-03-00,043,04,06,1,1450.16,1450.16,2.5,2.9,-13.8,0.0,Complex
CL-000060,WC-2023000031,1,A-001-030-80-00,032,03,06,1,210.93,210.93,1.4,1.3,7.7,-4.1,Standard
CL-000061,WC-2023000031,2,A-960-540-01-00,042,04,08,1,798.14,798.14,3.6,3.4,5.9,2.3,Standard
CL-000062,WC-2023000032,1,A-001-030-80-00,032,03,02,1,228.23,228.23,1.3,1.3,0.0,3.7,Standard
CL-000063,WC-2023000032,2,A-714-260-02-00,037,03,03,1,2506.25,2506.25,2.3,2.2,4.5,4.4,Complex
CL-000064,WC-2023000033,1,A-714-320-01-00,037,01,04,1,3360.96,3360.96,3.5,3.6,-2.8,5.0,Standard
CL-000065,WC-2023000034,1,A-001-997-55-45,045,01,04,1,816.09,816.09,1.3,1.2,8.3,4.6,Standard
CL-000066,WC-2023000035,1,A-001-030-60-12,032,02,04,1,1061.19,1061.19,2.8,2.5,12.0,-3.5,Complex
CL-000067,WC-2023000035,2,A-714-280-05-00,038,02,08,1,4942.99,4942.99,2.3,2.3,0.0,3.0,Complex
CL-000068,WC-2023000035,3,A-001-030-95-00,032,04,06,1,1656.9,1656.9,2.0,1.9,5.3,-7.9,Standard
CL-000069,WC-2023000036,1,A-714-280-05-00,038,02,08,1,4758.75,4758.75,2.1,2.3,-8.7,-0.9,Standard
CL-000070,WC-2023000036,2,A-680-495-01-00,043,06,02,1,615.73,615.73,2.0,2.2,-9.1,-5.3,Standard
CL-000071,WC-2023000037,1,A-001-030-95-00,032,04,07,1,1764.58,1764.58,2.0,1.9,5.3,-2.0,Complex
CL-000072,WC-2023000038,1,A-714-280-05-00,038,02,03,1,5028.49,5028.49,2.5,2.3,8.7,4.8,Standard
CL-000073,WC-2023000039,1,A-460-500-01-03,010,01,07,1,849.52,849.52,3.6,3.5,2.9,-4.5,Standard
CL-000074,WC-2023000039,2,A-680-495-01-00,043,06,04,1,632.65,632.65,2.5,2.2,13.6,-2.7,Standard
CL-000075,WC-2023000039,3,A-001-997-70-00,045,03,03,1,315.66,315.66,1.7,1.6,6.2,-7.2,Complex
CL-000076,WC-2023000040,1,A-350-100-01-00,050,01,05,1,376.47,376.47,1.2,1.2,0.0,-0.9,Standard
CL-000077,WC-2023000040,2,A-680-490-02-04,043,03,01,1,2044.96,2044.96,2.1,2.3,-8.7,4.9,Complex
CL-000078,WC-2023000040,3,A-001-030-95-00,032,04,03,1,1821.8,1821.8,2.0,1.9,5.3,1.2,Complex
CL-000079,WC-2023000041,1,A-960-540-01-00,042,04,08,1,841.3,841.3,4.5,3.4,32.4,7.9,Complex
CL-000080,WC-2023000042,1,A-960-501-02-00,042,01,09,1,576.7,576.7,1.8,2.1,-14.3,-7.0,Standard
CL-000081,WC-2023000042,2,A-714-320-01-00,037,01,09,1,3302.78,3302.78,3.5,3.6,-2.8,3.2,Complex
CL-000082,WC-2023000042,3,A-960-540-01-00,042,04,02,1,822.08,822.08,3.0,3.4,-11.8,5.4,Standard
CL-000083,WC-2023000043,1,A-001-030-95-00,032,04,05,1,1669.3,1669.3,1.8,1.9,-5.3,-7.3,Complex
CL-000084,WC-2023000043,2,A-960-501-02-00,042,01,09,1,619.05,619.05,1.9,2.1,-9.5,-0.2,Complex
CL-000085,WC-2023000044,1,A-460-501-00-00,010,06,08,1,196.95,196.95,2.8,2.9,-3.4,6.5,Standard
CL-000086,WC-2023000045,1,A-960-320-10-01,042,02,07,1,1687.68,1687.68,3.3,3.7,-10.8,-6.2,Standard
CL-000087,WC-2023000045,2,A-001-030-95-00,032,04,05,1,1681.62,1681.62,1.8,1.9,-5.3,-6.6,Standard
CL-000088,WC-2023000046,1,A-350-100-01-00,050,01,06,1,395.31,395.31,1.1,1.2,-8.3,4.0,Complex
CL-000089,WC-2023000046,2,A-680-480-03-00,043,04,09,1,1363.6,1363.6,2.9,2.9,0.0,-6.0,Standard
CL-000090,WC-2023000046,3,A-680-490-05-00,043,05,05,1,2545.63,2545.63,1.9,1.8,5.6,-5.7,Standard
CL-000091,WC-2023000047,1,A-001-030-60-12,032,02,02,1,1025.5,1025.5,2.6,2.5,4.0,-6.8,Standard
CL-000092,WC-2023000047,2,A-460-420-03-00,010,04,09,1,1073.56,1073.56,2.5,2.4,4.2,-6.6,Complex
CL-000093,WC-2023000048,1,A-960-540-01-00,042,04,09,1,837.99,837.99,3.5,3.4,2.9,7.4,Standard
CL-000094,WC-2023000048,2,A-350-200-01-00,050,02,09,1,190.85,190.85,1.6,1.8,-11.1,-2.1,Complex
CL-000095,WC-2023000048,3,A-680-495-01-00,043,06,03,1,641.96,641.96,2.5,2.2,13.6,-1.2,Complex
CL-000096,WC-2023000049,1,A-680-490-05-00,043,05,03,1,2530.29,2530.29,1.7,1.8,-5.6,-6.3,Complex
CL-000097,WC-2023000050,1,A-001-030-60-12,032,02,08,1,1089.19,1089.19,2.2,2.5,-12.0,-1.0,Standard
CL-000098,WC-2023000050,2,A-960-501-02-00,042,01,06,1,644.51,644.51,1.9,2.1,-9.5,4.0,Standard
CL-000099,WC-2023000051,1,A-001-997-70-00,045,03,07,1,363.04,363.04,1.6,1.6,0.0,6.8,Standard
CL-000100,WC-2023000051,2,A-460-420-03-00,010,04,03,1,1077.85,1077.85,2.1,2.4,-12.5,-6.3,Standard
CL-000101,WC-2023000051,3,A-001-545-80-00,041,06,04,1,1152.73,1152.73,2.2,2.3,-4.3,-7.8,Standard
CL-000102,WC-2023000052,1,A-960-540-01-00,042,04,02,1,805.77,805.77,3.1,3.4,-8.8,3.3,Standard
CL-000103,WC-2023000053,1,A-960-501-05-00,042,03,01,1,285.45,285.45,1.2,1.2,0.0,0.2,Complex
CL-000104,WC-2023000054,1,A-001-030-60-12,032,02,02,1,1075.99,1075.99,2.8,2.5,12.0,-2.2,Standard
CL-000105,WC-2023000055,1,A-001-030-95-00,032,04,04,1,1792.57,1792.57,1.8,1.9,-5.3,-0.4,Standard
CL-000106,WC-2023000055,2,A-680-490-02-04,043,03,05,1,1853.81,1853.81,2.0,2.3,-13.0,-4.9,Complex
CL-000107,WC-2023000056,1,A-460-501-00-00,010,06,07,1,181.57,181.57,3.1,2.9,6.9,-1.9,Complex
CL-000108,WC-2023000056,2,A-680-490-02-04,043,03,03,1,1858.56,1858.56,2.4,2.3,4.3,-4.7,Standard
CL-000109,WC-2023000057,1,A-001-030-95-00,032,04,01,1,1716.47,1716.47,2.2,1.9,15.8,-4.6,Complex
CL-000110,WC-2023000057,2,A-001-997-60-12,045,02,02,1,2258.67,2258.67,1.7,1.6,6.2,7.6,Complex
CL-000111,WC-2023000058,1,A-350-100-01-00,050,01,07,1,365.94,365.94,1.1,1.2,-8.3,-3.7,Standard
CL-000112,WC-2023000058,2,A-680-490-05-00,043,05,06,1,2799.28,2799.28,1.8,1.8,0.0,3.7,Standard
CL-000113,WC-2023000059,1,A-714-280-01-00,038,01,08,1,270.14,270.14,0.6,0.7,-14.3,-6.8,Complex
CL-000114,WC-2023000060,1,A-714-280-05-00,038,02,03,1,4652.07,4652.07,2.5,2.3,8.7,-3.1,Standard
CL-000115,WC-2023000060,2,A-001-545-76-32,041,02,09,1,3504.47,3504.47,2.2,2.5,-12.0,3.1,Standard
CL-000116,WC-2023000061,1,A-001-030-95-00,032,04,08,1,1861.88,1861.88,2.0,1.9,5.3,3.4,Standard
CL-000117,WC-2023000062,1,A-001-802-88-01,041,05,06,1,3933.84,3933.84,2.4,2.5,-4.0,-6.3,Complex
CL-000118,WC-2023000062,2,A-001-545-90-00,041,07,01,1,1705.78,1705.78,3.5,3.2,9.4,3.4,Standard
CL-000119,WC-2023000062,3,A-350-200-01-00,050,02,07,1,183.97,183.97,2.0,1.8,11.1,-5.7,Complex
CL-000120,WC-2023000063,1,A-960-320-10-01,042,02,09,1,1814.21,1814.21,3.6,3.7,-2.7,0.8,Complex
CL-000121,WC-2023000063,2,A-714-280-01-00,038,01,02,1,304.91,304.91,0.7,0.7,0.0,5.1,Complex
CL-000122,WC-2023000063,3,A-960-540-01-00,042,04,04,1,814.52,814.52,3.4,3.4,0.0,4.4,Standard
CL-000123,WC-2023000064,1,A-680-495-01-00,043,06,03,1,612.33,612.33,1.9,2.2,-13.6,-5.8,Complex
CL-000124,WC-2023000064,2,A-350-200-01-00,050,02,06,1,201.12,201.12,1.9,1.8,5.6,3.1,Standard
CL-000125,WC-2023000064,3,A-001-997-55-45,045,01,03,1,800.31,800.31,1.3,1.2,8.3,2.6,Standard
CL-000126,WC-2023000065,1,A-001-545-80-00,041,06,01,1,1162.0,1162.0,2.0,2.3,-13.0,-7.0,Standard
CL-000127,WC-2023000065,2,A-001-030-80-00,032,03,07,1,202.78,202.78,1.3,1.3,0.0,-7.8,Complex
CL-000128,WC-2023000066,1,A-714-280-01-00,038,01,06,1,317.61,317.61,0.8,0.7,14.3,9.5,Complex
CL-000129,WC-2023000067,1,A-960-501-05-00,042,03,08,1,287.95,287.95,1.4,1.2,16.7,1.0,Standard
CL-000130,WC-2023000068,1,A-001-030-45-56,032,01,07,1,991.81,991.81,3.2,3.2,0.0,4.4,Complex
CL-000131,WC-2023000068,2,A-001-997-70-00,045,03,03,1,359.15,359.15,1.6,1.6,0.0,5.6,Standard
CL-000132,WC-2023000069,1,A-001-997-55-45,045,01,01,4,788.35,3153.4,1.4,1.2,16.7,1.1,Standard
CL-000133,WC-2023000069,2,A-680-495-01-00,043,06,02,1,630.19,630.19,2.4,2.2,9.1,-3.0,Complex
CL-000134,WC-2023000070,1,A-960-540-01-00,042,04,05,1,778.53,778.53,3.9,3.4,14.7,-0.2,Complex
CL-000135,WC-2023000070,2,A-460-500-01-03,010,01,03,1,907.04,907.04,3.4,3.5,-2.9,1.9,Complex
CL-000136,WC-2023000071,1,A-960-501-05-00,042,03,09,1,278.11,278.11,1.3,1.2,8.3,-2.4,Complex
CL-000137,WC-2023000072,1,A-680-490-02-04,043,03,01,1,2099.31,2099.31,2.9,2.3,26.1,7.7,Complex
CL-000138,WC-2023000072,2,A-680-480-03-00,043,04,05,1,1481.48,1481.48,3.5,2.9,20.7,2.2,Complex
CL-000139,WC-2023000072,3,A-960-320-10-01,042,02,09,1,1907.65,1907.65,4.8,3.7,29.7,6.0,Standard
CL-000140,WC-2023000073,1,A-680-480-03-00,043,04,03,1,1488.97,1488.97,2.5,2.9,-13.8,2.7,Complex
CL-000141,WC-2023000074,1,A-001-545-76-32,041,02,04,1,3245.58,3245.58,2.6,2.5,4.0,-4.5,Standard
CL-000142,WC-2023000074,2,A-960-501-05-00,042,03,05,1,278.79,278.79,1.2,1.2,0.0,-2.2,Standard
CL-000143,WC-2023000074,3,A-680-495-01-00,043,06,07,1,665.49,665.49,2.3,2.2,4.5,2.4,Complex
CL-000144,WC-2023000075,1,A-680-495-01-00,043,06,02,1,599.71,599.71,1.9,2.2,-13.6,-7.7,Complex
CL-000145,WC-2023000076,1,A-001-030-60-12,032,02,07,1,1058.55,1058.55,2.8,2.5,12.0,-3.8,Standard
CL-000146,WC-2023000076,2,A-001-030-95-00,032,04,01,1,1917.81,1917.81,1.6,1.9,-15.8,6.5,Standard
CL-000147,WC-2023000076,3,A-001-545-80-00,041,06,09,1,1224.88,1224.88,2.1,2.3,-8.7,-2.0,Complex
CL-000148,WC-2023000077,1,A-714-260-02-00,037,03,09,1,2448.89,2448.89,2.4,2.2,9.1,2.0,Standard
CL-000149,WC-2023000078,1,A-001-997-60-12,045,02,05,1,2203.18,2203.18,1.7,1.6,6.2,4.9,Standard
CL-000150,WC-2023000079,1,A-001-030-80-00,032,03,03,1,224.7,224.7,1.4,1.3,7.7,2.1,Complex
CL-000151,WC-2023000080,1,A-680-480-01-02,043,01,04,1,2635.45,2635.45,3.5,3.1,12.9,-7.5,Standard
CL-000152,WC-2023000080,2,A-460-501-00-00,010,06,05,1,198.02,198.02,3.1,2.9,6.9,7.0,Complex
CL-000153,WC-2023000080,3,A-460-500-01-03,010,01,09,1,831.9,831.9,3.2,3.5,-8.6,-6.5,Complex
CL-000154,WC-2023000081,1,A-460-350-02-00,010,05,02,1,161.12,161.12,1.8,2.0,-10.0,-2.4,Complex
CL-000155,WC-2023000081,2,A-714-280-01-00,038,01,05,1,268.37,268.37,0.6,0.7,-14.3,-7.5,Complex
CL-000156,WC-2023000081,3,A-680-490-05-00,043,05,09,1,2841.13,2841.13,1.7,1.8,-5.6,5.2,Complex
CL-000157,WC-2023000082,1,A-460-420-03-00,010,04,04,1,1168.73,1168.73,2.3,2.4,-4.2,1.6,Standard
CL-000158,WC-2023000082,2,A-714-320-01-00,037,01,02,1,3310.73,3310.73,3.7,3.6,2.8,3.5,Complex
CL-000159,WC-2023000082,3,A-714-280-01-00,038,01,06,1,286.99,286.99,0.7,0.7,0.0,-1.0,Standard
CL-000160,WC-2023000083,1,A-680-480-01-02,043,01,07,1,2653.67,2653.67,3.2,3.1,3.2,-6.9,Complex
CL-000161,WC-2023000083,2,A-460-501-00-00,010,06,02,1,192.51,192.51,2.7,2.9,-6.9,4.1,Complex
CL-000162,WC-2023000084,1,A-350-200-01-00,050,02,01,1,206.48,206.48,2.0,1.8,11.1,5.9,Standard
CL-000163,WC-2023000084,2,A-001-030-45-56,032,01,06,1,920.25,920.25,2.8,3.2,-12.5,-3.1,Complex
CL-000164,WC-2023000085,1,A-680-480-03-00,043,04,08,1,1408.68,1408.68,3.3,2.9,13.8,-2.8,Standard
CL-000165,WC-2023000086,1,A-001-545-80-00,041,06,03,1,1212.37,1212.37,2.5,2.3,8.7,-3.0,Standard
CL-000166,WC-2023000087,1,A-714-320-01-00,037,01,06,1,3418.59,3418.59,3.3,3.6,-8.3,6.8,Complex
CL-000167,WC-2023000088,1,A-714-260-02-00,037,03,01,1,2292.32,2292.32,2.5,2.2,13.6,-4.5,Complex
CL-000168,WC-2023000088,2,A-460-500-01-03,010,01,04,1,894.58,894.58,3.2,3.5,-8.6,0.5,Complex
CL-000169,WC-2023000089,1,A-714-320-01-00,037,01,08,1,3029.32,3029.32,3.8,3.6,5.6,-5.3,Standard
CL-000170,WC-2023000089,2,A-460-420-03-00,010,04,06,1,1180.55,1180.55,2.7,2.4,12.5,2.7,Standard
CL-000171,WC-2023000089,3,A-350-200-01-00,050,02,03,1,187.63,187.63,1.6,1.8,-11.1,-3.8,Standard
CL-000172,WC-2023000090,1,A-460-420-03-00,010,04,05,1,1193.21,1193.21,2.4,2.4,0.0,3.8,Complex
CL-000173,WC-2023000091,1,A-960-320-10-01,042,02,06,1,1869.41,1869.41,3.4,3.7,-8.1,3.9,Standard
CL-000174,WC-2023000092,1,A-960-320-10-01,042,02,03,1,1935.21,1935.21,3.5,3.7,-5.4,7.5,Complex
CL-000175,WC-2023000092,2,A-680-490-05-00,043,05,09,1,2710.02,2710.02,1.9,1.8,5.6,0.4,Standard
CL-000176,WC-2023000092,3,A-001-545-90-00,041,07,05,1,1594.1,1594.1,3.0,3.2,-6.3,-3.4,Standard
CL-000177,WC-2023000093,1,A-001-030-80-00,032,03,04,1,207.42,207.42,1.4,1.3,7.7,-5.7,Complex
CL-000178,WC-2023000093,2,A-001-545-80-00,041,06,01,1,1166.14,1166.14,2.4,2.3,4.3,-6.7,Complex
CL-000179,WC-2023000093,3,A-460-500-01-03,010,01,07,1,854.22,854.22,4.0,3.5,14.3,-4.0,Complex
CL-000180,WC-2023000094,1,A-001-545-90-00,041,07,09,1,1634.66,1634.66,2.9,3.2,-9.4,-0.9,Complex
CL-000181,WC-2023000094,2,A-960-501-02-00,042,01,07,1,612.82,612.82,2.1,2.1,0.0,-1.2,Complex
CL-000182,WC-2023000094,3,A-001-545-80-00,041,06,07,1,1261.78,1261.78,2.0,2.3,-13.0,0.9,Standard
CL-000183,WC-2023000095,1,A-460-500-01-03,010,01,09,1,941.88,941.88,3.7,3.5,5.7,5.8,Standard
CL-000184,WC-2023000095,2,A-680-480-03-00,043,04,08,1,1453.77,1453.77,3.1,2.9,6.9,0.3,Standard
CL-000185,WC-2023000095,3,A-714-280-01-00,038,01,03,1,298.15,298.15,0.6,0.7,-14.3,2.8,Complex
CL-000186,WC-2023000096,1,A-460-420-03-00,010,04,09,1,1208.93,1208.93,2.7,2.4,12.5,5.1,Complex
CL-000187,WC-2023000097,1,A-714-280-01-00,038,01,05,1,292.98,292.98,0.7,0.7,0.0,1.0,Standard
CL-000188,WC-2023000097,2,A-714-320-01-00,037,01,08,1,3401.33,3401.33,3.8,3.6,5.6,6.3,Standard
CL-000189,WC-2023000098,1,A-960-540-01-00,042,04,05,1,815.78,815.78,3.6,3.4,5.9,4.6,Complex
CL-000190,WC-2023000098,2,A-680-480-03-00,043,04,07,1,1528.72,1528.72,2.5,2.9,-13.8,5.4,Complex
CL-000191,WC-2023000099,1,A-460-420-03-00,010,04,07,1,1220.06,1220.06,2.1,2.4,-12.5,6.1,Complex
CL-000192,WC-2023000099,2,A-960-501-05-00,042,03,02,1,265.02,265.02,1.4,1.2,16.7,-7.0,Standard
CL-000193,WC-2023000100,1,A-960-501-05-00,042,03,02,1,299.08,299.08,1.3,1.2,8.3,4.9,Standard
CL-000194,WC-2023000100,2,A-001-997-70-00,045,03,01,1,349.18,349.18,1.7,1.6,6.2,2.7,Standard
CL-000195,WC-2023000101,1,A-001-545-80-00,041,06,02,1,1225.22,1225.22,2.2,2.3,-4.3,-2.0,Standard
CL-000196,WC-2023000102,1,A-001-997-55-45,045,01,05,5,828.9,4144.5,1.2,1.2,0.0,6.3,Standard
CL-000197,WC-2023000102,2,A-714-260-02-00,037,03,06,1,2369.82,2369.82,1.9,2.2,-13.6,-1.3,Standard
CL-000198,WC-2023000102,3,A-680-490-05-00,043,05,06,1,2720.34,2720.34,1.6,1.8,-11.1,0.8,Standard
CL-000199,WC-2023000103,1,A-960-320-10-01,042,02,04,1,1671.94,1671.94,3.2,3.7,-13.5,-7.1,Complex
CL-000200,WC-2023000103,2,A-714-320-01-00,037,01,08,1,3321.82,3321.82,3.8,3.6,5.6,3.8,Standard
CL-000201,WC-2023000103,3,A-001-545-80-00,041,06,07,1,1225.45,1225.45,2.2,2.3,-4.3,-2.0,Complex
CL-000202,WC-2023000104,1,A-001-545-76-32,041,02,04,1,3318.22,3318.22,2.2,2.5,-12.0,-2.4,Complex
CL-000203,WC-2023000105,1,A-001-545-80-00,041,06,01,1,1258.28,1258.28,2.2,2.3,-4.3,0.7,Complex
CL-000204,WC-2023000105,2,A-001-997-60-12,045,02,08,1,2169.05,2169.05,1.8,1.6,12.5,3.3,Complex
CL-000205,WC-2023000106,1,A-001-997-55-45,045,01,01,4,824.25,3297.0,1.0,1.2,-16.7,5.7,Complex
CL-000206,WC-2023000106,2,A-960-320-10-01,042,02,07,1,1668.79,1668.79,3.6,3.7,-2.7,-7.3,Standard
CL-000207,WC-2023000107,1,A-460-350-02-00,010,05,07,1,176.56,176.56,2.2,2.0,10.0,7.0,Complex
CL-000208,WC-2023000107,2,A-714-280-01-00,038,01,04,1,284.49,284.49,0.6,0.7,-14.3,-1.9,Standard
CL-000209,WC-2023000107,3,A-460-501-00-00,010,06,05,1,178.51,178.51,3.3,2.9,13.8,-3.5,Standard
CL-000210,WC-2023000108,1,A-714-320-01-00,037,01,01,1,3228.98,3228.98,3.7,3.6,2.8,0.9,Standard
CL-000211,WC-2023000109,1,A-714-280-05-00,038,02,01,1,5177.83,5177.83,2.6,2.3,13.0,7.9,Complex
CL-000212,WC-2023000109,2,A-460-501-00-00,010,06,06,1,171.52,171.52,2.9,2.9,0.0,-7.3,Standard
CL-000213,WC-2023000109,3,A-680-490-02-04,043,03,02,1,1932.47,1932.47,2.0,2.3,-13.0,-0.9,Standard
CL-000214,WC-2023000110,1,A-960-320-10-01,042,02,02,1,1918.62,1918.62,4.2,3.7,13.5,6.6,Standard
CL-000215,WC-2023000111,1,A-714-280-01-00,038,01,04,1,305.59,305.59,0.7,0.7,0.0,5.4,Complex
