attachment_id,claim_id,file_name,file_type,file_size_kb,upload_date,perceptual_hash,ssim_match_score,is_duplicate_flag
ATT-000055,WC-2023000027,invoice_55.pdf,PDF,4285,2024-12-04,06ed087f2492917b,0.03,N
ATT-000056,WC-2023000028,repair_photo_56.jpg,JPEG,1359,2024-08-08,c3b8c105d54548f3,0.16,N
ATT-000057,WC-2023000029,repair_photo_57.jpg,JPEG,3750,2023-08-27,38e3dda3fa6c3e0f,0.15,N
ATT-000058,WC-2023000029,repair_photo_58.jpg,JPEG,4148,2023-08-27,3504f7bbd4a4e6a9,0.19,N
ATT-000059,WC-2023000029,invoice_59.pdf,PDF,3324,2023-08-27,f08a88f4aaeabb72,0.0,N
ATT-000060,WC-2023000030,repair_photo_60.jpg,JPEG,783,2024-02-24,0717c01e38204046,0.12,N
ATT-000061,WC-2023000030,repair_photo_61.jpg,JPEG,518,2024-02-24,9e441be163e0de26,0.1,N
ATT-000062,WC-2023000031,repair_photo_62.jpg,JPEG,3348,2023-06-09,b60a4cf8989d7d08,0.19,N
ATT-000063,WC-2023000032,repair_photo_63.jpg,JPEG,772,2024-11-17,ff1e2555f07a6daf,0.0,N
ATT-000064,WC-2023000032,repair_photo_64.jpg,JPEG,3622,2024-11-17,4f9dbbda493adbcc,0.19,N
ATT-000065,WC-2023000033,repair_photo_65.jpg,JPEG,1094,2025-09-06,4bdb0aea16f072a5,0.23,N
ATT-000066,WC-2023000033,repair_photo_66.jpg,JPEG,1560,2025-09-06,fa18850d0a510334,0.22,N
ATT-000067,WC-2023000033,invoice_67.pdf,PDF,902,2025-09-06,89aa24669bdb8f3b,0.02,N
ATT-000068,WC-2023000034,repair_photo_68.jpg,JPEG,3237,2024-07-16,d901dff33c211301,0.11,N
ATT-000069,WC-2023000034,repair_photo_69.jpg,JPEG,3010,2024-07-16,c5fda80f3b3a069f,0.17,N
ATT-000070,WC-2023000034,invoice_70.pdf,PDF,2162,2024-07-16,b8c6229d9aeb1b8b,0.25,N
ATT-000071,WC-2023000035,repair_photo_71.jpg,JPEG,866,2025-12-28,96f6a1240dc05800,0.12,N
ATT-000072,WC-2023000035,repair_photo_72.jpg,JPEG,4100,2025-12-28,15e10fb430bf2c66,0.09,N
ATT-000073,WC-2023000035,invoice_73.pdf,PDF,1022,2025-12-28,04999a05fc5582c5,0.25,N
ATT-000074,WC-2023000036,repair_photo_74.jpg,JPEG,2005,2023-02-17,962fd80c61b0c4de,0.19,N
ATT-000075,WC-2023000036,repair_photo_75.jpg,JPEG,4101,2023-02-17,ab631a206d9158bf,0.18,N
ATT-000076,WC-2023000037,repair_photo_76.jpg,JPEG,930,2025-12-21,69918a93898da60c,0.02,N
ATT-000077,WC-2023000037,repair_photo_77.jpg,JPEG,1741,2025-12-21,c7f26541a05d2b95,0.09,N
ATT-000078,WC-2023000038,repair_photo_78.jpg,JPEG,2631,2024-11-13,7082051cd698478a,0.04,N
ATT-000079,WC-2023000038,repair_photo_79.jpg,JPEG,4294,2024-11-13,80a1bb7160f6bb7f,0.21,N
ATT-000080,WC-2023000039,repair_photo_80.jpg,JPEG,3660,2023-03-24,4732732338b191f5,0.1,N
ATT-000081,WC-2023000039,repair_photo_81.jpg,JPEG,3053,2023-03-24,014273fc8142c385,0.17,N
ATT-000082,WC-2023000039,invoice_82.pdf,PDF,3403,2023-03-24,ff808f7f72efecfc,0.19,N
ATT-000083,WC-2023000040,repair_photo_83.jpg,JPEG,1671,2025-03-07,561e63e50f136648,0.24,N
ATT-000084,WC-2023000040,repair_photo_84.jpg,JPEG,1161,2025-03-07,945104fe42cd9bac,0.24,N
ATT-000085,WC-2023000041,repair_photo_85.jpg,JPEG,4207,2024-06-05,5aee507fd5334e01,0.02,N
ATT-000086,WC-2023000042,repair_photo_86.jpg,JPEG,1207,2025-03-19,06384308a325bb7e,0.2,N
ATT-000087,WC-2023000042,repair_photo_87.jpg,JPEG,4911,2025-03-19,739ee8b6798a6c0c,0.01,N
ATT-000088,WC-2023000043,repair_photo_88.jpg,JPEG,2655,2023-07-28,59655d8379525979,0.05,N
ATT-000089,WC-2023000044,repair_photo_89.jpg,JPEG,2406,2025-03-12,03fde38af8227e41,0.16,N
ATT-000090,WC-2023000045,repair_photo_90.jpg,JPEG,1060,2025-09-19,1f03433d463dca26,0.09,N
ATT-000091,WC-2023000046,repair_photo_91.jpg,JPEG,3795,2024-11-19,5c6492569242041a,0.11,N
ATT-000092,WC-2023000046,repair_photo_92.jpg,JPEG,4039,2024-11-19,575159eaa5cba1cc,0.25,N
ATT-000093,WC-2023000046,invoice_93.pdf,PDF,2459,2024-11-19,8fceed2e39a02d0d,0.13,N
ATT-000094,WC-2023000047,repair_photo_94.jpg,JPEG,4561,2025-11-27,2cc8e490b842fd06,0.13,N
ATT-000095,WC-2023000047,repair_photo_95.jpg,JPEG,3521,2025-11-27,fb074c0351202d57,0.17,N
ATT-000096,WC-2023000048,repair_photo_96.jpg,JPEG,2604,2023-10-01,5bbb2ff39b2e45fe,0.07,N
ATT-000097,WC-2023000048,repair_photo_97.jpg,JPEG,218,2023-10-01,d517ef5dd575ccd5,0.07,N
ATT-000098,WC-2023000049,repair_photo_98.jpg,JPEG,4413,2024-03-10,2c4402593a714da1,0.02,N
ATT-000099,WC-2023000050,repair_photo_99.jpg,JPEG,2913,2023-10-09,23a242bda899e41c,0.11,N
ATT-000100,WC-2023000050,repair_photo_100.jpg,JPEG,1513,2023-10-09,57d39e706e3ef756,0.23,N
ATT-000101,WC-2023000051,repair_photo_101.jpg,JPEG,2511,2025-12-09,6cd53832e67e5c32,0.12,N
ATT-000102,WC-2023000051,repair_photo_102.jpg,JPEG,3713,2025-12-09,a3a45daf66476bda,0.12,N
ATT-000103,WC-2023000052,repair_photo_103.jpg,JPEG,1774,2023-07-08,889cfdd7464819fe,0.01,N
ATT-000104,WC-2023000052,repair_photo_104.jpg,JPEG,3692,2023-07-08,ac1097ad5fae3ca3,0.23,N
ATT-000105,WC-2023000053,repair_photo_105.jpg,JPEG,2223,2023-11-13,611d7485ebdfb6d6,0.18,N
ATT-000106,WC-2023000053,repair_photo_106.jpg,JPEG,589,2023-11-13,dee8398455fa2d63,0.08,N
ATT-000107,WC-2023000054,repair_photo_107.jpg,JPEG,4532,2023-09-07,204c0844e232f8b2,0.19,N
ATT-000108,WC-2023000054,repair_photo_108.jpg,JPEG,2151,2023-09-07,57f825e357a4edd2,0.15,N
ATT-000109,WC-2023000054,invoice_109.pdf,PDF,1920,2023-09-07,7f62389d16d2e8bc,0.16,N
ATT-000110,WC-2023000055,repair_photo_110.jpg,JPEG,4327,2025-02-24,b9a4573b08cf7476,0.1,N
ATT-000111,WC-2023000055,repair_photo_111.jpg,JPEG,1567,2025-02-24,0abb5098a02eca22,0.2,N
ATT-000112,WC-2023000056,repair_photo_112.jpg,JPEG,4501,2024-12-02,fab3b501a109f3e2,0.18,N
ATT-000113,WC-2023000056,repair_photo_113.jpg,JPEG,2004,2024-12-02,2707fa2e5069680e,0.06,N
ATT-000114,WC-2023000056,invoice_114.pdf,PDF,2399,2024-12-02,090a3d9d5b71e3dc,0.07,N
ATT-000115,WC-2023000057,repair_photo_115.jpg,JPEG,285,2023-01-08,b4d5073228268da0,0.25,N
ATT-000116,WC-2023000057,repair_photo_116.jpg,JPEG,1996,2023-01-08,32cb302a8136fa73,0.21,N
ATT-000117,WC-2023000058,repair_photo_117.jpg,JPEG,1642,2023-12-18,ee63c155cd0c094b,0.2,N
ATT-000118,WC-2023000059,repair_photo_118.jpg,JPEG,1101,2024-09-21,57bfa317f8764b45,0.1,N
ATT-000119,WC-2023000059,repair_photo_119.jpg,JPEG,558,2024-09-21,08965fe1b0d9e1e9,0.21,N
ATT-000120,WC-2023000060,repair_photo_120.jpg,JPEG,3602,2025-03-21,cdfd292bdc77ab26,0.13,N
ATT-000121,WC-2023000061,repair_photo_121.jpg,JPEG,1169,2025-01-14,3525142f0afd1992,0.15,N
ATT-000122,WC-2023000062,repair_photo_122.jpg,JPEG,2481,2025-11-20,0b7776945a135556,0.24,N
ATT-000123,WC-2023000062,repair_photo_123.jpg,JPEG,2846,2025-11-20,7a42cd9b6a1fde65,0.04,N
ATT-000124,WC-2023000063,repair_photo_124.jpg,JPEG,1294,2025-04-16,09c5059b73ebfeb2,0.14,N
ATT-000125,WC-2023000063,repair_photo_125.jpg,JPEG,688,2025-04-16,824243d4130bb0eb,0.23,N
ATT-000126,WC-2023000064,repair_photo_126.jpg,JPEG,3611,2025-11-27,d76ed5f8ab6dc37a,0.0,N
ATT-000127,WC-2023000065,repair_photo_127.jpg,JPEG,3670,2023-09-24,ec6e0b5e0c15422f,0.18,N
ATT-000128,WC-2023000065,repair_photo_128.jpg,JPEG,2426,2023-09-24,9d95c35f76a53f8f,0.23,N
ATT-000129,WC-2023000066,repair_photo_129.jpg,JPEG,429,2024-12-24,d58b173fe7a4ef30,0.15,N
ATT-000130,WC-2023000066,repair_photo_130.jpg,JPEG,1072,2024-12-24,30b7c0bdf7d4c013,0.06,N
ATT-000131,WC-2023000067,repair_photo_131.jpg,JPEG,2513,2024-09-10,ae9f1470d0112549,0.25,N
ATT-000132,WC-2023000068,repair_photo_132.jpg,JPEG,1519,2023-09-24,8d0000834eb947a3,0.16,N
ATT-000133,WC-2023000068,repair_photo_133.jpg,JPEG,4309,2023-09-24,31bedf87ca710cd7,0.25,N
ATT-000134,WC-2023000068,invoice_134.pdf,PDF,4486,2023-09-24,5b6700317b20ddd0,0.13,N
ATT-000135,WC-2023000069,repair_photo_135.jpg,JPEG,4922,2025-04-12,7af34e05a10ca850,0.02,N
ATT-000136,WC-2023000070,repair_photo_136.jpg,JPEG,549,2023-02-25,159cc958d6d64489,0.11,N
ATT-000137,WC-2023000070,repair_photo_137.jpg,JPEG,667,2023-02-25,1fcff0776a8a71e4,0.16,N
ATT-000138,WC-2023000070,invoice_138.pdf,PDF,2205,2023-02-25,77f279ccc7a5e795,0.19,N
ATT-000139,WC-2023000071,repair_photo_139.jpg,JPEG,2892,2024-02-04,3716c072dde7bbcd,0.05,N
ATT-000140,WC-2023000071,repair_photo_140.jpg,JPEG,3005,2024-02-04,cf47e48c8a5a0ab6,0.02,N
ATT-000141,WC-2023000072,repair_photo_141.jpg,JPEG,3061,2023-09-04,35ab6a23008a2207,0.89,Y
ATT-000142,WC-2023000072,repair_photo_142.jpg,JPEG,4145,2023-09-04,a8edf5628ee6a8f7,0.24,N
ATT-000143,WC-2023000073,repair_photo_143.jpg,JPEG,1130,2025-02-23,9fd0cc9a597eadca,0.22,N
ATT-000144,WC-2023000073,repair_photo_144.jpg,JPEG,3529,2025-02-23,6d53c64b7b9e0e31,0.2,N
ATT-000145,WC-2023000074,repair_photo_145.jpg,JPEG,1640,2025-12-28,78ecc8c811719630,0.03,N
ATT-000146,WC-2023000074,repair_photo_146.jpg,JPEG,3256,2025-12-28,77d86526550903c6,0.11,N
ATT-000147,WC-2023000075,repair_photo_147.jpg,JPEG,2574,2024-05-28,a84d3a7b894a54fc,0.2,N
ATT-000148,WC-2023000075,repair_photo_148.jpg,JPEG,1935,2024-05-28,e213f74490997d50,0.21,N
ATT-000149,WC-2023000075,invoice_149.pdf,PDF,3924,2024-05-28,c177fa5368b7aff8,0.06,N
ATT-000150,WC-2023000076,repair_photo_150.jpg,JPEG,1778,2025-12-12,52d226dfb69f9c59,0.24,N
ATT-000151,WC-2023000076,repair_photo_151.jpg,JPEG,3422,2025-12-12,d91723bc61e6e2e5,0.15,N
ATT-000152,WC-2023000076,invoice_152.pdf,PDF,4933,2025-12-12,352cc6c97d63a8fd,0.21,N
ATT-000153,WC-2023000077,repair_photo_153.jpg,JPEG,1453,2025-02-11,218f6cfcc9c05cd5,0.0,N
ATT-000154,WC-2023000077,repair_photo_154.jpg,JPEG,4653,2025-02-11,2f81d44f3542dd84,0.01,N
ATT-000155,WC-2023000078,repair_photo_155.jpg,JPEG,1047,2024-09-05,e806ba09ea02b4fd,0.25,N
ATT-000156,WC-2023000078,repair_photo_156.jpg,JPEG,1205,2024-09-05,06c410df5a0d8998,0.03,N
ATT-000157,WC-2023000078,invoice_157.pdf,PDF,2513,2024-09-05,c2897b4883403ad9,0.03,N
ATT-000158,WC-2023000079,repair_photo_158.jpg,JPEG,3040,2023-01-28,af133c102b521b6a,0.03,N
ATT-000159,WC-2023000080,repair_photo_159.jpg,JPEG,2248,2024-01-17,2918359256930e4f,0.23,N
ATT-000160,WC-2023000080,repair_photo_160.jpg,JPEG,2502,2024-01-17,ccfc9a97324845f4,0.04,N
ATT-000161,WC-2023000081,repair_photo_161.jpg,JPEG,1723,2024-10-24,494e7c0fb392dabd,0.11,N
ATT-000162,WC-2023000081,repair_photo_162.jpg,JPEG,795,2024-10-24,4ddbaf4f8338b65f,0.09,N
ATT-000163,WC-2023000082,repair_photo_163.jpg,JPEG,1216,2024-02-11,a69e9d9900f9909d,0.11,N
ATT-000164,WC-2023000082,repair_photo_164.jpg,JPEG,2877,2024-02-11,3ae6f128c195007f,0.11,N
ATT-000165,WC-2023000083,repair_photo_165.jpg,JPEG,4241,2023-01-26,b3cdf065d1a17151,0.25,N
ATT-000166,WC-2023000083,repair_photo_166.jpg,JPEG,1194,2023-01-26,f63f82efe701f554,0.21,N
ATT-000167,WC-2023000083,invoice_167.pdf,PDF,1041,2023-01-26,ae56b4182d123d1a,0.21,N
ATT-000168,WC-2023000084,repair_photo_168.jpg,JPEG,1412,2023-12-28,4405476a45b88096,0.03,N
ATT-000169,WC-2023000085,repair_photo_169.jpg,JPEG,2185,2025-11-21,8f94489e6dd81195,0.21,N
ATT-000170,WC-2023000085,repair_photo_170.jpg,JPEG,1886,2025-11-21,0373a7283c76b672,0.16,N
ATT-000171,WC-2023000085,invoice_171.pdf,PDF,815,2025-11-21,9ad934dc935a0312,0.17,N
ATT-000172,WC-2023000086,repair_photo_172.jpg,JPEG,3478,2023-08-15,5195644068a956aa,0.13,N
ATT-000173,WC-2023000086,repair_photo_173.jpg,JPEG,2476,2023-08-15,e6f93a21376213de,0.05,N
ATT-000174,WC-2023000086,invoice_174.pdf,PDF,2716,2023-08-15,0ee7726b92b7bfd1,0.11,N
ATT-000175,WC-2023000087,repair_photo_175.jpg,JPEG,3815,2024-02-04,5263df4570263f6f,0.08,N
ATT-000176,WC-2023000087,repair_photo_176.jpg,JPEG,1001,2024-02-04,da3c88bbaea5c1ff,0.07,N
ATT-000177,WC-2023000087,invoice_177.pdf,PDF,3333,2024-02-04,8d7655bd698f1f61,0.01,N
ATT-000178,WC-2023000088,repair_photo_178.jpg,JPEG,2397,2024-04-13,821cb443a5bc1130,0.21,N
ATT-000179,WC-2023000088,repair_photo_179.jpg,JPEG,1601,2024-04-13,3fbe719752884846,0.12,N
ATT-000180,WC-2023000088,invoice_180.pdf,PDF,3047,2024-04-13,ca043e33561934ab,0.2,N
ATT-000181,WC-2023000089,repair_photo_181.jpg,JPEG,4071,2025-03-01,30fb4907b751c798,0.22,N
ATT-000182,WC-2023000089,repair_photo_182.jpg,JPEG,342,2025-03-01,5201c6a9e4393995,0.03,N
ATT-000183,WC-2023000090,repair_photo_183.jpg,JPEG,4442,2025-11-17,fe89b2dfe825861d,0.18,N
ATT-000184,WC-2023000090,repair_photo_184.jpg,JPEG,4167,2025-11-17,4182792583915794,0.19,N
ATT-000185,WC-2023000091,repair_photo_185.jpg,JPEG,3880,2025-09-01,86f06ad5302e762f,0.17,N
ATT-000186,WC-2023000091,repair_photo_186.jpg,JPEG,4516,2025-09-01,ddd6204de6e29229,0.25,N
ATT-000187,WC-2023000091,invoice_187.pdf,PDF,3057,2025-09-01,782bcdde6cba419a,0.04,N
ATT-000188,WC-2023000092,repair_photo_188.jpg,JPEG,2705,2024-12-09,846f48975e2e5c9c,0.01,N
ATT-000189,WC-2023000093,repair_photo_189.jpg,JPEG,4819,2025-01-09,3608e54d32aa82b6,0.08,N
ATT-000190,WC-2023000093,repair_photo_190.jpg,JPEG,2841,2025-01-09,c2d170f2654533f9,0.11,N
ATT-000191,WC-2023000093,invoice_191.pdf,PDF,1340,2025-01-09,98759b032d88cfaf,0.2,N
ATT-000192,WC-2023000094,repair_photo_192.jpg,JPEG,4650,2024-05-07,e4a0ad6045916efc,0.09,N
ATT-000193,WC-2023000094,repair_photo_193.jpg,JPEG,2603,2024-05-07,158024c2c002e64e,0.22,N
ATT-000194,WC-2023000094,invoice_194.pdf,PDF,3416,2024-05-07,3fa16638a70bad0e,0.01,N
ATT-000195,WC-2023000095,repair_photo_195.jpg,JPEG,1453,2025-06-25,ef6d85ce5975d3e6,0.02,N
ATT-000196,WC-2023000096,repair_photo_196.jpg,JPEG,1360,2023-02-16,8cef7154e0b5ee9b,0.01,N
ATT-000197,WC-2023000096,repair_photo_197.jpg,JPEG,2171,2023-02-16,04e780d65a834ffa,0.2,N
ATT-000198,WC-2023000096,invoice_198.pdf,PDF,4678,2023-02-16,252915a3dc1c8112,0.04,N
ATT-000199,WC-2023000097,repair_photo_199.jpg,JPEG,3130,2024-01-19,a28c5ce70c093bb3,0.25,N
ATT-000200,WC-2023000098,repair_photo_200.jpg,JPEG,1260,2023-11-17,a857fa7b41780c44,0.13,N
ATT-000201,WC-2023000098,repair_photo_201.jpg,JPEG,4957,2023-11-17,8c1aeb7cecb231ba,0.17,N
ATT-000202,WC-2023000098,invoice_202.pdf,PDF,3507,2023-11-17,eb6af1ad43d93f5c,0.09,N
ATT-000203,WC-2023000099,repair_photo_203.jpg,JPEG,3882,2023-09-08,d4c3c6fcdffb3bce,0.08,N
ATT-000204,WC-2023000100,repair_photo_204.jpg,JPEG,4526,2025-07-07,08c95d19a1b55a50,0.09,N
ATT-000205,WC-2023000101,repair_photo_205.jpg,JPEG,4628,2025-07-16,a208e724a5a2e3d1,0.06,N
ATT-000206,WC-2023000101,repair_photo_206.jpg,JPEG,2035,2025-07-16,a55120cc1819f080,0.08,N
ATT-000207,WC-2023000102,repair_photo_207.jpg,JPEG,489,2025-05-12,1384d9741942a7f4,0.21,N
ATT-000208,WC-2023000102,repair_photo_208.jpg,JPEG,779,2025-05-12,5e2f8614bd43b713,0.09,N
ATT-000209,WC-2023000102,invoice_209.pdf,PDF,860,2025-05-12,bb8cee86eb7301a5,0.24,N
ATT-000210,WC-2023000103,repair_photo_210.jpg,JPEG,3212,2025-03-02,0ca96896157ecf10,0.25,N
ATT-000211,WC-2023000103,repair_photo_211.jpg,JPEG,3010,2025-03-02,150896a950ec0165,0.09,N
ATT-000212,WC-2023000103,invoice_212.pdf,PDF,674,2025-03-02,a6fd692392a11fca,0.11,N
ATT-000213,WC-2023000104,repair_photo_213.jpg,JPEG,4653,2023-05-25,122da6b0a1b7df6d,0.06,N
ATT-000214,WC-2023000105,repair_photo_214.jpg,JPEG,1926,2025-10-28,7782ba2ca4b732d0,0.19,N
ATT-000215,WC-2023000105,repair_photo_215.jpg,JPEG,1362,2025-10-28,2cbe911d88a84573,0.03,N
ATT-000216,WC-2023000106,repair_photo_216.jpg,JPEG,2954,2025-08-15,682d815c3c685cb4,0.23,N
ATT-000217,WC-2023000106,repair_photo_217.jpg,JPEG,2350,2025-08-15,38e942f6d862d818,0.23,N
ATT-000218,WC-2023000107,repair_photo_218.jpg,JPEG,2446,2025-04-27,ef2f62ffedeab1c3,0.1,N
ATT-000219,WC-2023000107,repair_photo_219.jpg,JPEG,2252,2025-04-27,87f84566d067761a,0.09,N
ATT-000220,WC-2023000107,invoice_220.pdf,PDF,301,2025-04-27,767df04f3755914c,0.2,N
ATT-000221,WC-2023000108,repair_photo_221.jpg,JPEG,2462,2025-11-28,6632995091f57420,0.19,N
ATT-000222,WC-2023000108,repair_photo_222.jpg,JPEG,4254,2025-11-28,afd9dae4f6cd969d,0.06,N
ATT-000223,WC-2023000109,repair_photo_223.jpg,JPEG,2519,2023-08-02,74ecfddd5c440bea,0.16,N
ATT-000224,WC-2023000110,repair_photo_224.jpg,JPEG,1429,2025-05-14,592e7b23235c75ed,0.16,N
ATT-000225,WC-2023000111,repair_photo_225.jpg,JPEG,3167,2025-12-08,3226334b7fa1fb13,0.02,N
ATT-000226,WC-2023000111,repair_photo_226.jpg,JPEG,2087,2025-12-08,2a8dfc5ee5d0b8fb,0.16,N
ATT-000227,WC-2023000111,invoice_227.pdf,PDF,3631,2025-12-08,35412dec5627dd66,0.11,N
ATT-000228,WC-2023000112,repair_photo_228.jpg,JPEG,1567,2025-02-18,85b505c82c24eff9,0.01,N
ATT-000229,WC-2023000112,repair_photo_229.jpg,JPEG,1284,2025-02-18,1f37e0957598b36a,0.25,N
ATT-000230,WC-2023000113,repair_photo_230.jpg,JPEG,2569,2024-05-14,2ea0727c066c0420,0.21,N
ATT-000231,WC-2023000113,repair_photo_231.jpg,JPEG,1302,2024-05-14,4b8acfa2bc8ee385,0.19,N
ATT-000232,WC-2023000113,invoice_232.pdf,PDF,4372,2024-05-14,61cc185c2611b46b,0.18,N
ATT-000233,WC-2023000114,repair_photo_233.jpg,JPEG,1556,2024-05-21,b6c3b49651bb6d12,0.09,N
ATT-000234,WC-2023000115,repair_photo_234.jpg,JPEG,411,2024-06-06,705f1f8270b6bfaf,0.12,N
ATT-000235,WC-2023000116,repair_photo_235.jpg,JPEG,1483,2024-12-14,e5390ea5707d01c8,0.02,N
