claim_id,cluster_id,cluster_size,distance_from_centroid,is_outlier,cluster_avg_claim_amount,cluster_std_claim_amount,claim_amount_z_score
WC-2023000131,Emission-DPF-Regen-Failure,335,1.571,N,3920.94,2145.67,-0.74
WC-2023000132,Emission-High-Mileage-Cascadia,339,1.849,N,3724.51,1975.33,-0.37
WC-2023000133,Electrical-Intermittent-Faults,470,1.339,N,3130.91,1970.63,0.38
WC-2023000134,Cooling-Summer-Sun-Belt,509,1.887,N,2771.87,2089.92,-0.05
WC-2023000135,Cab-Body-Regional-Distribution,260,2.882,N,2397.55,2071.18,-0.92
WC-2023000136,Cab-Body-Regional-Distribution,260,0.741,N,2397.55,2071.18,-0.45
WC-2023000137,Electrical-Intermittent-Faults,470,1.94,N,3130.91,1970.63,-1.41
WC-2023000138,Transmission-Class8-Heavy-Use,276,0.527,N,4789.88,1996.74,-0.42
WC-2023000139,Fuel-System-Cold-Start,390,0.621,N,3525.56,2352.52,0.19
WC-2023000140,Campaign-Related-Defect,1241,1.045,N,4154.73,2330.54,0.28
WC-2023000141,Cooling-Summer-Sun-Belt,509,0.3,N,2771.87,2089.92,-0.57
WC-2023000142,Brake-Rust-Belt-Winter,562,1.147,N,2534.44,1878.53,-0.61
WC-2023000143,Brake-Rust-Belt-Winter,562,0.231,N,2534.44,1878.53,-1.13
WC-2023000144,Engine-Extended-Warranty,364,1.98,N,4658.44,2195.34,-0.11
WC-2023000145,Fuel-System-Cold-Start,390,1.291,N,3525.56,2352.52,-1.27
WC-2023000146,Campaign-Related-Defect,1241,1.632,N,4154.73,2330.54,1.02
WC-2023000147,Campaign-Related-Defect,1241,1.841,N,4154.73,2330.54,-0.76
WC-2023000148,Drivetrain-Construction-Fleet,254,0.329,N,4330.36,2909.27,0.45
WC-2023000149,Brake-Rust-Belt-Winter,562,1.202,N,2534.44,1878.53,0.22
WC-2023000150,Campaign-Related-Defect,1241,0.792,N,4154.73,2330.54,-0.39
WC-2023000151,Cooling-Summer-Sun-Belt,509,0.365,N,2771.87,2089.92,-0.26
WC-2023000152,Fuel-System-Cold-Start,390,1.648,N,3525.56,2352.52,0.7
WC-2023000153,Drivetrain-Construction-Fleet,254,0.722,N,4330.36,2909.27,0.99
WC-2023000154,Fuel-System-Cold-Start,390,1.343,N,3525.56,2352.52,0.57
WC-2023000155,Campaign-Related-Defect,1241,1.343,N,4154.73,2330.54,-0.18
WC-2023000156,Campaign-Related-Defect,1241,1.612,N,4154.73,2330.54,-0.04
WC-2023000157,Electrical-Intermittent-Faults,470,0.311,N,3130.91,1970.63,0.63
WC-2023000158,Emission-DPF-Regen-Failure,335,0.494,N,3920.94,2145.67,-0.2
WC-2023000159,Drivetrain-Construction-Fleet,254,1.314,N,4330.36,2909.27,0.77
WC-2023000160,Cab-Body-Regional-Distribution,260,0.131,N,2397.55,2071.18,-0.89
WC-2023000161,Fuel-System-Cold-Start,390,0.474,N,3525.56,2352.52,-0.31
WC-2023000162,Emission-High-Mileage-Cascadia,339,0.125,N,3724.51,1975.33,-0.62
WC-2023000163,Cooling-Summer-Sun-Belt,509,1.649,N,2771.87,2089.92,-0.3
WC-2023000164,Emission-DPF-Regen-Failure,335,0.204,N,3920.94,2145.67,0.89
WC-2023000165,Brake-Rust-Belt-Winter,562,0.858,N,2534.44,1878.53,2.35
WC-2023000166,Cab-Body-Regional-Distribution,260,0.434,N,2397.55,2071.18,1.35
WC-2023000167,Campaign-Related-Defect,1241,0.235,N,4154.73,2330.54,0.89
WC-2023000168,Engine-Extended-Warranty,364,1.6,N,4658.44,2195.34,1.43
WC-2023000169,Campaign-Related-Defect,1241,0.836,N,4154.73,2330.54,-0.92
WC-2023000170,Campaign-Related-Defect,1241,0.13,N,4154.73,2330.54,-0.58
WC-2023000171,Emission-DPF-Regen-Failure,335,0.136,N,3920.94,2145.67,-0.39
WC-2023000172,Brake-Rust-Belt-Winter,562,1.603,N,2534.44,1878.53,-0.6
WC-2023000173,Brake-Rust-Belt-Winter,562,1.958,N,2534.44,1878.53,-0.82
WC-2023000174,Engine-Extended-Warranty,364,1.725,N,4658.44,2195.34,-1.23
WC-2023000175,Emission-High-Mileage-Cascadia,339,1.887,N,3724.51,1975.33,1.42
WC-2023000176,Campaign-Related-Defect,1241,1.118,N,4154.73,2330.54,2.21
WC-2023000177,Campaign-Related-Defect,1241,0.37,N,4154.73,2330.54,-1.6
WC-2023000178,Transmission-Class8-Heavy-Use,276,1.676,N,4789.88,1996.74,-0.28
WC-2023000179,Campaign-Related-Defect,1241,0.952,N,4154.73,2330.54,1.1
WC-2023000180,Emission-High-Mileage-Cascadia,339,1.911,N,3724.51,1975.33,0.38
WC-2023000181,Emission-DPF-Regen-Failure,335,0.187,N,3920.94,2145.67,1.65
WC-2023000182,Electrical-Intermittent-Faults,470,0.981,N,3130.91,1970.63,0.83
WC-2023000183,Fuel-System-Cold-Start,390,1.327,N,3525.56,2352.52,-0.59
WC-2023000184,Brake-Rust-Belt-Winter,562,0.527,N,2534.44,1878.53,-0.44
WC-2023000185,Emission-High-Mileage-Cascadia,339,0.57,N,3724.51,1975.33,-1.01
WC-2023000186,Emission-DPF-Regen-Failure,335,1.567,N,3920.94,2145.67,-0.26
WC-2023000187,Brake-Rust-Belt-Winter,562,1.225,N,2534.44,1878.53,-0.07
WC-2023000188,Electrical-Intermittent-Faults,470,1.049,N,3130.91,1970.63,1.18
WC-2023000189,Campaign-Related-Defect,1241,1.531,N,4154.73,2330.54,-0.2
WC-2023000190,Campaign-Related-Defect,1241,1.583,N,4154.73,2330.54,-1.17
WC-2023000191,Cab-Body-Regional-Distribution,260,1.089,N,2397.55,2071.18,-0.51
WC-2023000192,Cooling-Summer-Sun-Belt,509,1.422,N,2771.87,2089.92,-0.73
WC-2023000193,Campaign-Related-Defect,1241,1.488,N,4154.73,2330.54,-0.68
WC-2023000194,Drivetrain-Construction-Fleet,254,0.325,N,4330.36,2909.27,-0.13
WC-2023000195,Campaign-Related-Defect,1241,0.82,N,4154.73,2330.54,-0.37
WC-2023000196,Cab-Body-Regional-Distribution,260,0.844,N,2397.55,2071.18,0.96
WC-2023000197,Campaign-Related-Defect,1241,0.872,N,4154.73,2330.54,1.16
WC-2023000198,Fuel-System-Cold-Start,390,0.69,N,3525.56,2352.52,1.05
WC-2023000199,Cab-Body-Regional-Distribution,260,4.433,Y,2397.55,2071.18,-0.92
WC-2023000200,Emission-High-Mileage-Cascadia,339,0.486,N,3724.51,1975.33,0.61
WC-2023000201,Brake-Rust-Belt-Winter,562,1.903,N,2534.44,1878.53,-1.07
WC-2023000202,Engine-Extended-Warranty,364,1.656,N,4658.44,2195.34,0.59
WC-2023000203,Brake-Rust-Belt-Winter,562,1.336,N,2534.44,1878.53,-0.63
WC-2023000204,Cooling-Summer-Sun-Belt,509,0.258,N,2771.87,2089.92,-0.76
WC-2023000205,Cooling-Summer-Sun-Belt,509,1.952,N,2771.87,2089.92,-1.13
WC-2023000206,Emission-DPF-Regen-Failure,335,1.421,N,3920.94,2145.67,0.51
WC-2023000207,Brake-Rust-Belt-Winter,562,0.265,N,2534.44,1878.53,1.05
WC-2023000208,Campaign-Related-Defect,1241,1.891,N,4154.73,2330.54,0.74
WC-2023000209,Emission-DPF-Regen-Failure,335,1.4,N,3920.94,2145.67,0.58
WC-2023000210,Electrical-Intermittent-Faults,470,0.857,N,3130.91,1970.63,0.21
WC-2023000211,Fuel-System-Cold-Start,390,1.582,N,3525.56,2352.52,-1.27
WC-2023000212,Electrical-Intermittent-Faults,470,1.895,N,3130.91,1970.63,2.43
WC-2023000213,Cab-Body-Regional-Distribution,260,1.255,N,2397.55,2071.18,-0.18
WC-2023000214,Campaign-Related-Defect,1241,0.669,N,4154.73,2330.54,-1.61
WC-2023000215,Emission-DPF-Regen-Failure,335,0.203,N,3920.94,2145.67,-0.4
WC-2023000216,Cooling-Summer-Sun-Belt,509,0.668,N,2771.87,2089.92,1.8
WC-2023000217,Campaign-Related-Defect,1241,0.318,N,4154.73,2330.54,0.58
WC-2023000218,Emission-High-Mileage-Cascadia,339,1.836,N,3724.51,1975.33,0.03
WC-2023000219,Cooling-Summer-Sun-Belt,509,1.429,N,2771.87,2089.92,-0.32
WC-2023000220,Transmission-Class8-Heavy-Use,276,1.564,N,4789.88,1996.74,-0.4
WC-2023000221,Fuel-System-Cold-Start,390,1.362,N,3525.56,2352.52,1.78
WC-2023000222,Campaign-Related-Defect,1241,1.255,N,4154.73,2330.54,-0.83
WC-2023000223,Cooling-Summer-Sun-Belt,509,0.138,N,2771.87,2089.92,-0.91
WC-2023000224,Campaign-Related-Defect,1241,2.986,N,4154.73,2330.54,0.43
WC-2023000225,Brake-Rust-Belt-Winter,562,1.984,N,2534.44,1878.53,-0.57
WC-2023000226,Cooling-Summer-Sun-Belt,509,1.914,N,2771.87,2089.92,-1.1
WC-2023000227,Brake-Rust-Belt-Winter,562,1.283,N,2534.44,1878.53,-1.04
WC-2023000228,Campaign-Related-Defect,1241,1.496,N,4154.73,2330.54,0.47
WC-2023000229,Brake-Rust-Belt-Winter,562,0.408,N,2534.44,1878.53,-0.74
WC-2023000230,Campaign-Related-Defect,1241,0.506,N,4154.73,2330.54,-0.94
WC-2023000231,Fuel-System-Cold-Start,390,0.644,N,3525.56,2352.52,-0.59
WC-2023000232,Emission-DPF-Regen-Failure,335,0.546,N,3920.94,2145.67,0.15
WC-2023000233,Emission-High-Mileage-Cascadia,339,0.497,N,3724.51,1975.33,-0.37
WC-2023000234,Campaign-Related-Defect,1241,0.252,N,4154.73,2330.54,1.18
WC-2023000235,Fuel-System-Cold-Start,390,0.584,N,3525.56,2352.52,-0.4
WC-2023000236,Cooling-Summer-Sun-Belt,509,1.209,N,2771.87,2089.92,-0.22
WC-2023000237,Emission-DPF-Regen-Failure,335,1.615,N,3920.94,2145.67,-1.4
WC-2023000238,Emission-DPF-Regen-Failure,335,0.868,N,3920.94,2145.67,2.16
WC-2023000239,Cab-Body-Regional-Distribution,260,0.45,N,2397.55,2071.18,-0.95
WC-2023000240,Electrical-Intermittent-Faults,470,0.335,N,3130.91,1970.63,1.37
WC-2023000241,Campaign-Related-Defect,1241,1.095,N,4154.73,2330.54,-0.03
WC-2023000242,Electrical-Intermittent-Faults,470,3.393,Y,3130.91,1970.63,1.0
WC-2023000243,Emission-DPF-Regen-Failure,335,1.437,N,3920.94,2145.67,0.38
WC-2023000244,Brake-Rust-Belt-Winter,562,0.965,N,2534.44,1878.53,1.43
WC-2023000245,Drivetrain-Construction-Fleet,254,0.373,N,4330.36,2909.27,0.71
WC-2023000246,Emission-High-Mileage-Cascadia,339,0.57,N,3724.51,1975.33,-0.04
WC-2023000247,Fuel-System-Cold-Start,390,1.306,N,3525.56,2352.52,-0.11
WC-2023000248,Transmission-Class8-Heavy-Use,276,0.556,N,4789.88,1996.74,1.02
WC-2023000249,Cooling-Summer-Sun-Belt,509,1.303,N,2771.87,2089.92,-1.11
WC-2023000250,Campaign-Related-Defect,1241,0.723,N,4154.73,2330.54,-1.07
WC-2023000251,Cooling-Summer-Sun-Belt,509,3.922,Y,2771.87,2089.92,0.42
WC-2023000252,Electrical-Intermittent-Faults,470,1.604,N,3130.91,1970.63,0.46
WC-2023000253,Brake-Rust-Belt-Winter,562,0.722,N,2534.44,1878.53,-0.56
WC-2023000254,Engine-Extended-Warranty,364,0.624,N,4658.44,2195.34,-0.43
WC-2023000255,Fuel-System-Cold-Start,390,1.355,N,3525.56,2352.52,-0.11
WC-2023000256,Drivetrain-Construction-Fleet,254,1.403,N,4330.36,2909.27,-1.37
WC-2023000257,Campaign-Related-Defect,1241,1.419,N,4154.73,2330.54,-0.44
WC-2023000258,Drivetrain-Construction-Fleet,254,1.757,N,4330.36,2909.27,-1.35
WC-2023000259,Campaign-Related-Defect,1241,0.192,N,4154.73,2330.54,-0.29
WC-2023000260,Campaign-Related-Defect,1241,1.879,N,4154.73,2330.54,2.52
WC-2023000261,Electrical-Intermittent-Faults,470,1.363,N,3130.91,1970.63,-0.91
WC-2023000262,Campaign-Related-Defect,1241,1.495,N,4154.73,2330.54,-0.97
WC-2023000263,Engine-Extended-Warranty,364,0.446,N,4658.44,2195.34,2.07
WC-2023000264,Electrical-Intermittent-Faults,470,0.464,N,3130.91,1970.63,1.05
WC-2023000265,Campaign-Related-Defect,1241,1.344,N,4154.73,2330.54,1.76
WC-2023000266,Emission-High-Mileage-Cascadia,339,1.517,N,3724.51,1975.33,-0.48
WC-2023000267,Emission-DPF-Regen-Failure,335,0.4,N,3920.94,2145.67,-1.4
WC-2023000268,Campaign-Related-Defect,1241,0.643,N,4154.73,2330.54,-0.27
WC-2023000269,Fuel-System-Cold-Start,390,1.197,N,3525.56,2352.52,-1.28
WC-2023000270,Campaign-Related-Defect,1241,1.642,N,4154.73,2330.54,-0.92
WC-2023000271,Emission-DPF-Regen-Failure,335,1.473,N,3920.94,2145.67,-0.38
WC-2023000272,Campaign-Related-Defect,1241,0.855,N,4154.73,2330.54,0.33
WC-2023000273,Cab-Body-Regional-Distribution,260,1.26,N,2397.55,2071.18,0.07
WC-2023000274,Cooling-Summer-Sun-Belt,509,1.694,N,2771.87,2089.92,-0.46
WC-2023000275,Engine-Extended-Warranty,364,1.758,N,4658.44,2195.34,1.37
WC-2023000276,Drivetrain-Construction-Fleet,254,0.843,N,4330.36,2909.27,-1.37
WC-2023000277,Cooling-Summer-Sun-Belt,509,1.983,N,2771.87,2089.92,0.59
WC-2023000278,Emission-DPF-Regen-Failure,335,0.407,N,3920.94,2145.67,0.48
WC-2023000279,Brake-Rust-Belt-Winter,562,1.512,N,2534.44,1878.53,2.31
WC-2023000280,Emission-High-Mileage-Cascadia,339,1.703,N,3724.51,1975.33,-0.15
WC-2023000281,Drivetrain-Construction-Fleet,254,0.948,N,4330.36,2909.27,0.21
WC-2023000282,Engine-Extended-Warranty,364,1.791,N,4658.44,2195.34,-0.48
WC-2023000283,Emission-High-Mileage-Cascadia,339,0.831,N,3724.51,1975.33,-0.22
WC-2023000284,Cooling-Summer-Sun-Belt,509,0.148,N,2771.87,2089.92,-1.12
WC-2023000285,Campaign-Related-Defect,1241,0.206,N,4154.73,2330.54,-0.88
WC-2023000286,Emission-DPF-Regen-Failure,335,1.916,N,3920.94,2145.67,-0.74
WC-2023000287,Emission-High-Mileage-Cascadia,339,1.03,N,3724.51,1975.33,-1.01
WC-2023000288,Campaign-Related-Defect,1241,0.87,N,4154.73,2330.54,-0.12
WC-2023000289,Brake-Rust-Belt-Winter,562,0.186,N,2534.44,1878.53,-0.57
WC-2023000290,Engine-Extended-Warranty,364,1.663,N,4658.44,2195.34,-1.41
WC-2023000291,Transmission-Class8-Heavy-Use,276,0.648,N,4789.88,1996.74,0.12
WC-2023000292,Emission-DPF-Regen-Failure,335,1.877,N,3920.94,2145.67,-1.03
WC-2023000293,Emission-High-Mileage-Cascadia,339,1.66,N,3724.51,1975.33,-0.46
WC-2023000294,Cooling-Summer-Sun-Belt,509,0.419,N,2771.87,2089.92,-0.89
WC-2023000295,Cooling-Summer-Sun-Belt,509,0.104,N,2771.87,2089.92,-0.71
WC-2023000296,Fuel-System-Cold-Start,390,1.458,N,3525.56,2352.52,-1.27
WC-2023000297,Cab-Body-Regional-Distribution,260,1.094,N,2397.55,2071.18,-0.04
WC-2023000298,Emission-DPF-Regen-Failure,335,0.101,N,3920.94,2145.67,-0.25
WC-2023000299,Campaign-Related-Defect,1241,0.245,N,4154.73,2330.54,-0.65
WC-2023000300,Brake-Rust-Belt-Winter,562,0.405,N,2534.44,1878.53,1.71
WC-2023000301,Electrical-Intermittent-Faults,470,1.611,N,3130.91,1970.63,0.6
WC-2023000302,Cooling-Summer-Sun-Belt,509,1.311,N,2771.87,2089.92,-0.94
