pfp_id,part_number,part_description,model_name,model_year,vehicles_in_population,expected_failure_rate_per_1000,actual_failure_count,actual_failure_rate_per_1000,deviation_pct,trend,period,last_updated
PFP-00026,A-680-480-01-02,EGR Cooler Assembly,Western Star 47X,2022,10048,5.6,53,5.27,-5.9,Spike,2022-FY,2025-12-01
PFP-00027,A-680-480-01-02,EGR Cooler Assembly,Western Star 47X,2023,1697,2.46,7,4.12,67.5,Increasing,2023-FY,2025-12-01
PFP-00028,A-680-480-01-02,EGR Cooler Assembly,Western Star 47X,2024,14204,5.12,23,1.62,-68.4,Increasing,2024-FY,2025-12-01
PFP-00029,A-680-490-02-04,DPF Filter Element,Freightliner 114SD,2021,11443,1.54,21,1.84,19.5,Spike,2021-FY,2025-12-01
PFP-00030,A-680-490-02-04,DPF Filter Element,Freightliner 114SD,2022,13338,2.29,30,2.25,-1.7,Spike,2022-FY,2025-12-01
PFP-00031,A-680-490-02-04,DPF Filter Element,Freightliner 114SD,2023,12130,5.81,97,8.0,37.7,Spike,2023-FY,2025-12-01
PFP-00032,A-680-490-02-04,DPF Filter Element,Freightliner 114SD,2024,5267,5.67,14,2.66,-53.1,Spike,2024-FY,2025-12-01
PFP-00033,A-680-490-02-04,DPF Filter Element,Freightliner M2 112,2021,7654,6.52,15,1.96,-69.9,Stable,2021-FY,2025-12-01
PFP-00034,A-680-490-02-04,DPF Filter Element,Freightliner M2 112,2022,4415,2.72,8,1.81,-33.5,Decreasing,2022-FY,2025-12-01
PFP-00035,A-680-490-02-04,DPF Filter Element,Freightliner M2 112,2023,7206,3.72,15,2.08,-44.1,Decreasing,2023-FY,2025-12-01
PFP-00036,A-680-490-02-04,DPF Filter Element,Freightliner M2 112,2024,9380,8.0,26,2.77,-65.4,Spike,2024-FY,2025-12-01
PFP-00037,A-680-490-02-04,DPF Filter Element,Freightliner Cascadia,2021,10667,4.23,42,3.94,-6.9,Increasing,2021-FY,2025-12-01
PFP-00038,A-680-490-02-04,DPF Filter Element,Freightliner Cascadia,2022,4407,5.04,6,1.36,-73.0,Spike,2022-FY,2025-12-01
PFP-00039,A-680-490-02-04,DPF Filter Element,Freightliner Cascadia,2023,10861,0.62,4,0.37,-40.3,Spike,2023-FY,2025-12-01
PFP-00040,A-680-490-02-04,DPF Filter Element,Freightliner Cascadia,2024,1730,3.43,8,4.62,34.7,Stable,2024-FY,2025-12-01
PFP-00041,A-680-490-02-04,DPF Filter Element,Freightliner M2 106,2021,13787,3.83,53,3.84,0.3,Decreasing,2021-FY,2025-12-01
PFP-00042,A-680-490-02-04,DPF Filter Element,Freightliner M2 106,2022,12577,7.29,27,2.15,-70.5,Decreasing,2022-FY,2025-12-01
PFP-00043,A-680-490-02-04,DPF Filter Element,Freightliner M2 106,2023,8290,1.02,10,1.21,18.6,Increasing,2023-FY,2025-12-01
PFP-00044,A-680-490-02-04,DPF Filter Element,Freightliner M2 106,2024,2323,6.8,23,9.9,45.6,Decreasing,2024-FY,2025-12-01
PFP-00045,A-680-490-02-04,DPF Filter Element,Western Star 49X,2021,9043,7.36,22,2.43,-67.0,Increasing,2021-FY,2025-12-01
PFP-00046,A-680-490-02-04,DPF Filter Element,Western Star 49X,2022,12091,4.96,88,7.28,46.8,Increasing,2022-FY,2025-12-01
PFP-00047,A-680-490-02-04,DPF Filter Element,Western Star 49X,2023,1729,1.07,3,1.74,62.6,Increasing,2023-FY,2025-12-01
PFP-00048,A-680-490-02-04,DPF Filter Element,Western Star 49X,2024,7468,7.54,36,4.82,-36.1,Spike,2024-FY,2025-12-01
PFP-00049,A-680-490-02-04,DPF Filter Element,Freightliner 108SD,2021,10441,0.82,13,1.25,52.4,Spike,2021-FY,2025-12-01
PFP-00050,A-680-490-02-04,DPF Filter Element,Freightliner 108SD,2022,11847,6.55,81,6.84,4.4,Spike,2022-FY,2025-12-01
PFP-00051,A-680-490-02-04,DPF Filter Element,Freightliner 108SD,2023,13764,4.31,29,2.11,-51.0,Decreasing,2023-FY,2025-12-01
PFP-00052,A-680-490-02-04,DPF Filter Element,Freightliner 108SD,2024,8055,3.65,15,1.86,-49.0,Stable,2024-FY,2025-12-01
PFP-00053,A-680-490-02-04,DPF Filter Element,Western Star 47X,2021,4705,1.13,4,0.85,-24.8,Increasing,2021-FY,2025-12-01
PFP-00054,A-680-490-02-04,DPF Filter Element,Western Star 47X,2022,11890,3.07,1,0.08,-97.4,Increasing,2022-FY,2025-12-01
PFP-00055,A-680-490-02-04,DPF Filter Element,Western Star 47X,2023,4044,1.8,3,0.74,-58.9,Spike,2023-FY,2025-12-01
PFP-00056,A-680-490-02-04,DPF Filter Element,Western Star 47X,2024,4346,3.06,10,2.3,-24.8,Spike,2024-FY,2025-12-01
PFP-00057,A-001-545-76-32,Turbocharger Assembly,Freightliner 114SD,2021,12460,7.45,94,7.54,1.2,Increasing,2021-FY,2025-12-01
PFP-00058,A-001-545-76-32,Turbocharger Assembly,Freightliner 114SD,2022,8837,4.31,39,4.41,2.3,Spike,2022-FY,2025-12-01
PFP-00059,A-001-545-76-32,Turbocharger Assembly,Freightliner 114SD,2023,3579,0.88,4,1.12,27.3,Increasing,2023-FY,2025-12-01
PFP-00060,A-001-545-76-32,Turbocharger Assembly,Freightliner 114SD,2024,3308,4.06,14,4.23,4.2,Decreasing,2024-FY,2025-12-01
PFP-00061,A-001-545-76-32,Turbocharger Assembly,Freightliner M2 112,2021,1966,6.5,8,4.07,-37.4,Increasing,2021-FY,2025-12-01
PFP-00062,A-001-545-76-32,Turbocharger Assembly,Freightliner M2 112,2022,7095,0.73,3,0.42,-42.5,Decreasing,2022-FY,2025-12-01
PFP-00063,A-001-545-76-32,Turbocharger Assembly,Freightliner M2 112,2023,6438,1.66,14,2.17,30.7,Spike,2023-FY,2025-12-01
PFP-00064,A-001-545-76-32,Turbocharger Assembly,Freightliner M2 112,2024,1665,7.19,2,1.2,-83.3,Decreasing,2024-FY,2025-12-01
PFP-00065,A-001-545-76-32,Turbocharger Assembly,Freightliner Cascadia,2021,5791,5.99,2,0.35,-94.2,Spike,2021-FY,2025-12-01
PFP-00066,A-001-545-76-32,Turbocharger Assembly,Freightliner Cascadia,2022,4096,3.89,2,0.49,-87.4,Increasing,2022-FY,2025-12-01
PFP-00067,A-001-545-76-32,Turbocharger Assembly,Freightliner Cascadia,2023,3215,3.21,14,4.35,35.5,Spike,2023-FY,2025-12-01
PFP-00068,A-001-545-76-32,Turbocharger Assembly,Freightliner Cascadia,2024,13690,3.37,5,0.37,-89.0,Spike,2024-FY,2025-12-01
PFP-00069,A-001-545-76-32,Turbocharger Assembly,Freightliner M2 106,2021,13173,7.55,97,7.36,-2.5,Increasing,2021-FY,2025-12-01
PFP-00070,A-001-545-76-32,Turbocharger Assembly,Freightliner M2 106,2022,957,2.31,3,3.13,35.5,Stable,2022-FY,2025-12-01
PFP-00071,A-001-545-76-32,Turbocharger Assembly,Freightliner M2 106,2023,863,1.97,2,2.32,17.8,Stable,2023-FY,2025-12-01
PFP-00072,A-001-545-76-32,Turbocharger Assembly,Freightliner M2 106,2024,7545,1.77,4,0.53,-70.1,Increasing,2024-FY,2025-12-01
PFP-00073,A-001-545-76-32,Turbocharger Assembly,Western Star 49X,2021,10026,1.75,11,1.1,-37.1,Increasing,2021-FY,2025-12-01
PFP-00074,A-001-545-76-32,Turbocharger Assembly,Western Star 49X,2022,1078,7.75,8,7.42,-4.3,Increasing,2022-FY,2025-12-01
PFP-00075,A-001-545-76-32,Turbocharger Assembly,Western Star 49X,2023,7174,6.38,12,1.67,-73.8,Stable,2023-FY,2025-12-01
PFP-00076,A-001-545-76-32,Turbocharger Assembly,Western Star 49X,2024,10450,0.55,2,0.19,-65.5,Stable,2024-FY,2025-12-01
PFP-00077,A-001-545-76-32,Turbocharger Assembly,Freightliner 108SD,2021,668,7.18,2,2.99,-58.4,Spike,2021-FY,2025-12-01
PFP-00078,A-001-545-76-32,Turbocharger Assembly,Freightliner 108SD,2022,10580,5.86,45,4.25,-27.5,Decreasing,2022-FY,2025-12-01
PFP-00079,A-001-545-76-32,Turbocharger Assembly,Freightliner 108SD,2023,9749,2.97,26,2.67,-10.1,Stable,2023-FY,2025-12-01
PFP-00080,A-001-545-76-32,Turbocharger Assembly,Freightliner 108SD,2024,5249,0.84,5,0.95,13.1,Decreasing,2024-FY,2025-12-01
PFP-00081,A-001-545-76-32,Turbocharger Assembly,Western Star 47X,2021,11570,1.4,12,1.04,-25.7,Stable,2021-FY,2025-12-01
PFP-00082,A-001-545-76-32,Turbocharger Assembly,Western Star 47X,2022,988,6.69,10,10.12,51.3,Stable,2022-FY,2025-12-01
PFP-00083,A-001-545-76-32,Turbocharger Assembly,Western Star 47X,2023,4408,5.6,25,5.67,1.3,Increasing,2023-FY,2025-12-01
PFP-00084,A-001-545-76-32,Turbocharger Assembly,Western Star 47X,2024,8768,3.26,13,1.48,-54.6,Decreasing,2024-FY,2025-12-01
PFP-00085,A-460-500-01-03,Air Compressor,Freightliner 114SD,2021,11355,5.97,62,5.46,-8.5,Decreasing,2021-FY,2025-12-01
PFP-00086,A-460-500-01-03,Air Compressor,Freightliner 114SD,2022,11640,4.36,38,3.26,-25.2,Increasing,2022-FY,2025-12-01
PFP-00087,A-460-500-01-03,Air Compressor,Freightliner 114SD,2023,4916,2.35,9,1.83,-22.1,Increasing,2023-FY,2025-12-01
PFP-00088,A-460-500-01-03,Air Compressor,Freightliner 114SD,2024,592,0.54,1,1.69,213.0,Increasing,2024-FY,2025-12-01
PFP-00089,A-460-500-01-03,Air Compressor,Freightliner M2 112,2021,7777,1.08,7,0.9,-16.7,Decreasing,2021-FY,2025-12-01
PFP-00090,A-460-500-01-03,Air Compressor,Freightliner M2 112,2022,5843,1.57,11,1.88,19.7,Decreasing,2022-FY,2025-12-01
PFP-00091,A-460-500-01-03,Air Compressor,Freightliner M2 112,2023,13624,1.29,21,1.54,19.4,Spike,2023-FY,2025-12-01
PFP-00092,A-460-500-01-03,Air Compressor,Freightliner M2 112,2024,6166,0.63,4,0.65,3.2,Stable,2024-FY,2025-12-01
PFP-00093,A-460-500-01-03,Air Compressor,Freightliner Cascadia,2021,9927,3.23,41,4.13,27.9,Decreasing,2021-FY,2025-12-01
PFP-00094,A-460-500-01-03,Air Compressor,Freightliner Cascadia,2022,2878,1.69,5,1.74,3.0,Stable,2022-FY,2025-12-01
PFP-00095,A-460-500-01-03,Air Compressor,Freightliner Cascadia,2023,14751,6.06,75,5.08,-16.2,Spike,2023-FY,2025-12-01
PFP-00096,A-460-500-01-03,Air Compressor,Freightliner Cascadia,2024,14316,0.87,1,0.07,-92.0,Decreasing,2024-FY,2025-12-01
PFP-00097,A-460-500-01-03,Air Compressor,Freightliner M2 106,2021,8917,4.1,17,1.91,-53.4,Spike,2021-FY,2025-12-01
PFP-00098,A-460-500-01-03,Air Compressor,Freightliner M2 106,2022,6266,2.66,8,1.28,-51.9,Increasing,2022-FY,2025-12-01
PFP-00099,A-460-500-01-03,Air Compressor,Freightliner M2 106,2023,13535,0.69,9,0.66,-4.3,Decreasing,2023-FY,2025-12-01
PFP-00100,A-460-500-01-03,Air Compressor,Freightliner M2 106,2024,813,6.7,1,1.23,-81.6,Spike,2024-FY,2025-12-01
PFP-00101,A-460-500-01-03,Air Compressor,Western Star 49X,2021,9777,1.55,23,2.35,51.6,Stable,2021-FY,2025-12-01
PFP-00102,A-460-500-01-03,Air Compressor,Western Star 49X,2022,10400,5.55,60,5.77,4.0,Stable,2022-FY,2025-12-01
PFP-00103,A-460-500-01-03,Air Compressor,Western Star 49X,2023,5014,6.71,41,8.18,21.9,Increasing,2023-FY,2025-12-01
PFP-00104,A-460-500-01-03,Air Compressor,Western Star 49X,2024,12639,6.21,82,6.49,4.5,Stable,2024-FY,2025-12-01
PFP-00105,A-460-500-01-03,Air Compressor,Freightliner 108SD,2021,7294,2.71,16,2.19,-19.2,Decreasing,2021-FY,2025-12-01
PFP-00106,A-460-500-01-03,Air Compressor,Freightliner 108SD,2022,1899,3.59,1,0.53,-85.2,Decreasing,2022-FY,2025-12-01
PFP-00107,A-460-500-01-03,Air Compressor,Freightliner 108SD,2023,14854,1.37,15,1.01,-26.3,Increasing,2023-FY,2025-12-01
PFP-00108,A-460-500-01-03,Air Compressor,Freightliner 108SD,2024,11447,5.05,55,4.8,-5.0,Spike,2024-FY,2025-12-01
PFP-00109,A-460-500-01-03,Air Compressor,Western Star 47X,2021,6901,6.92,56,8.11,17.2,Increasing,2021-FY,2025-12-01
PFP-00110,A-460-500-01-03,Air Compressor,Western Star 47X,2022,3355,1.26,5,1.49,18.3,Decreasing,2022-FY,2025-12-01
PFP-00111,A-460-500-01-03,Air Compressor,Western Star 47X,2023,7623,2.87,4,0.52,-81.9,Decreasing,2023-FY,2025-12-01
PFP-00112,A-460-500-01-03,Air Compressor,Western Star 47X,2024,8431,4.61,17,2.02,-56.2,Stable,2024-FY,2025-12-01
PFP-00113,A-001-802-88-01,ECM Module,Freightliner 114SD,2021,9814,4.15,3,0.31,-92.5,Stable,2021-FY,2025-12-01
PFP-00114,A-001-802-88-01,ECM Module,Freightliner 114SD,2022,12071,1.12,18,1.49,33.0,Increasing,2022-FY,2025-12-01
PFP-00115,A-001-802-88-01,ECM Module,Freightliner 114SD,2023,14550,6.87,71,4.88,-29.0,Stable,2023-FY,2025-12-01
PFP-00116,A-001-802-88-01,ECM Module,Freightliner 114SD,2024,9703,1.76,13,1.34,-23.9,Increasing,2024-FY,2025-12-01
PFP-00117,A-001-802-88-01,ECM Module,Freightliner M2 112,2021,2235,7.64,13,5.82,-23.8,Spike,2021-FY,2025-12-01
PFP-00118,A-001-802-88-01,ECM Module,Freightliner M2 112,2022,7543,6.44,36,4.77,-25.9,Decreasing,2022-FY,2025-12-01
PFP-00119,A-001-802-88-01,ECM Module,Freightliner M2 112,2023,10026,1.4,3,0.3,-78.6,Stable,2023-FY,2025-12-01
PFP-00120,A-001-802-88-01,ECM Module,Freightliner M2 112,2024,10295,7.54,15,1.46,-80.6,Increasing,2024-FY,2025-12-01
PFP-00121,A-001-802-88-01,ECM Module,Freightliner Cascadia,2021,3982,6.65,7,1.76,-73.5,Decreasing,2021-FY,2025-12-01
PFP-00122,A-001-802-88-01,ECM Module,Freightliner Cascadia,2022,11681,2.14,4,0.34,-84.1,Spike,2022-FY,2025-12-01
PFP-00123,A-001-802-88-01,ECM Module,Freightliner Cascadia,2023,10411,7.35,59,5.67,-22.9,Decreasing,2023-FY,2025-12-01
PFP-00124,A-001-802-88-01,ECM Module,Freightliner Cascadia,2024,4736,7.79,36,7.6,-2.4,Stable,2024-FY,2025-12-01
PFP-00125,A-001-802-88-01,ECM Module,Freightliner M2 106,2021,12935,0.56,3,0.23,-58.9,Decreasing,2021-FY,2025-12-01
PFP-00126,A-001-802-88-01,ECM Module,Freightliner M2 106,2022,3746,4.84,6,1.6,-66.9,Stable,2022-FY,2025-12-01
PFP-00127,A-001-802-88-01,ECM Module,Freightliner M2 106,2023,7395,5.54,49,6.63,19.7,Decreasing,2023-FY,2025-12-01
PFP-00128,A-001-802-88-01,ECM Module,Freightliner M2 106,2024,13128,3.52,58,4.42,25.6,Decreasing,2024-FY,2025-12-01
PFP-00129,A-001-802-88-01,ECM Module,Western Star 49X,2021,3481,3.19,12,3.45,8.2,Increasing,2021-FY,2025-12-01
PFP-00130,A-001-802-88-01,ECM Module,Western Star 49X,2022,11092,6.4,75,6.76,5.6,Spike,2022-FY,2025-12-01
PFP-00131,A-001-802-88-01,ECM Module,Western Star 49X,2023,1087,7.92,6,5.52,-30.3,Decreasing,2023-FY,2025-12-01
PFP-00132,A-001-802-88-01,ECM Module,Western Star 49X,2024,2173,7.61,15,6.9,-9.3,Stable,2024-FY,2025-12-01
PFP-00133,A-001-802-88-01,ECM Module,Freightliner 108SD,2021,5208,2.04,7,1.34,-34.3,Increasing,2021-FY,2025-12-01
PFP-00134,A-001-802-88-01,ECM Module,Freightliner 108SD,2022,5676,5.68,15,2.64,-53.5,Decreasing,2022-FY,2025-12-01
PFP-00135,A-001-802-88-01,ECM Module,Freightliner 108SD,2023,13829,4.66,27,1.95,-58.2,Stable,2023-FY,2025-12-01
PFP-00136,A-001-802-88-01,ECM Module,Freightliner 108SD,2024,2704,6.29,24,8.88,41.2,Stable,2024-FY,2025-12-01
PFP-00137,A-001-802-88-01,ECM Module,Western Star 47X,2021,9306,4.45,7,0.75,-83.1,Decreasing,2021-FY,2025-12-01
PFP-00138,A-001-802-88-01,ECM Module,Western Star 47X,2022,2746,2.3,10,3.64,58.3,Increasing,2022-FY,2025-12-01
PFP-00139,A-001-802-88-01,ECM Module,Western Star 47X,2023,11331,4.93,80,7.06,43.2,Stable,2023-FY,2025-12-01
PFP-00140,A-001-802-88-01,ECM Module,Western Star 47X,2024,14893,1.45,16,1.07,-26.2,Stable,2024-FY,2025-12-01
PFP-00141,A-960-501-02-00,Coolant Pump,Freightliner 114SD,2021,13255,4.17,41,3.09,-25.9,Spike,2021-FY,2025-12-01
PFP-00142,A-960-501-02-00,Coolant Pump,Freightliner 114SD,2022,4213,3.3,19,4.51,36.7,Increasing,2022-FY,2025-12-01
PFP-00143,A-960-501-02-00,Coolant Pump,Freightliner 114SD,2023,6132,1.94,7,1.14,-41.2,Increasing,2023-FY,2025-12-01
PFP-00144,A-960-501-02-00,Coolant Pump,Freightliner 114SD,2024,6150,6.86,14,2.28,-66.8,Stable,2024-FY,2025-12-01
PFP-00145,A-960-501-02-00,Coolant Pump,Freightliner M2 112,2021,14965,1.42,5,0.33,-76.8,Spike,2021-FY,2025-12-01
PFP-00146,A-960-501-02-00,Coolant Pump,Freightliner M2 112,2022,2259,3.28,3,1.33,-59.5,Spike,2022-FY,2025-12-01
PFP-00147,A-960-501-02-00,Coolant Pump,Freightliner M2 112,2023,13934,2.33,11,0.79,-66.1,Increasing,2023-FY,2025-12-01
PFP-00148,A-960-501-02-00,Coolant Pump,Freightliner M2 112,2024,14780,5.12,88,5.95,16.2,Increasing,2024-FY,2025-12-01
PFP-00149,A-960-501-02-00,Coolant Pump,Freightliner Cascadia,2021,10879,2.13,28,2.57,20.7,Increasing,2021-FY,2025-12-01
PFP-00150,A-960-501-02-00,Coolant Pump,Freightliner Cascadia,2022,1691,4.79,13,7.69,60.5,Stable,2022-FY,2025-12-01
PFP-00151,A-960-501-02-00,Coolant Pump,Freightliner Cascadia,2023,14210,3.27,66,4.64,41.9,Spike,2023-FY,2025-12-01
PFP-00152,A-960-501-02-00,Coolant Pump,Freightliner Cascadia,2024,3214,2.62,7,2.18,-16.8,Increasing,2024-FY,2025-12-01
PFP-00153,A-960-501-02-00,Coolant Pump,Freightliner M2 106,2021,14226,2.77,18,1.27,-54.2,Stable,2021-FY,2025-12-01
PFP-00154,A-960-501-02-00,Coolant Pump,Freightliner M2 106,2022,6966,4.19,13,1.87,-55.4,Decreasing,2022-FY,2025-12-01
PFP-00155,A-960-501-02-00,Coolant Pump,Freightliner M2 106,2023,9162,2.39,6,0.65,-72.8,Increasing,2023-FY,2025-12-01
PFP-00156,A-960-501-02-00,Coolant Pump,Freightliner M2 106,2024,3016,5.83,6,1.99,-65.9,Spike,2024-FY,2025-12-01
PFP-00157,A-960-501-02-00,Coolant Pump,Western Star 49X,2021,4091,1.02,1,0.24,-76.5,Decreasing,2021-FY,2025-12-01
PFP-00158,A-960-501-02-00,Coolant Pump,Western Star 49X,2022,5543,7.24,60,10.82,49.4,Increasing,2022-FY,2025-12-01
PFP-00159,A-960-501-02-00,Coolant Pump,Western Star 49X,2023,9244,7.73,61,6.6,-14.6,Decreasing,2023-FY,2025-12-01
PFP-00160,A-960-501-02-00,Coolant Pump,Western Star 49X,2024,10568,3.87,19,1.8,-53.5,Spike,2024-FY,2025-12-01
PFP-00161,A-960-501-02-00,Coolant Pump,Freightliner 108SD,2021,9440,1.6,6,0.64,-60.0,Stable,2021-FY,2025-12-01
PFP-00162,A-960-501-02-00,Coolant Pump,Freightliner 108SD,2022,2218,1.57,3,1.35,-14.0,Decreasing,2022-FY,2025-12-01
PFP-00163,A-960-501-02-00,Coolant Pump,Freightliner 108SD,2023,2634,7.27,14,5.32,-26.8,Increasing,2023-FY,2025-12-01
PFP-00164,A-960-501-02-00,Coolant Pump,Freightliner 108SD,2024,14172,2.62,34,2.4,-8.4,Stable,2024-FY,2025-12-01
PFP-00165,A-960-501-02-00,Coolant Pump,Western Star 47X,2021,10246,7.64,79,7.71,0.9,Stable,2021-FY,2025-12-01
PFP-00166,A-960-501-02-00,Coolant Pump,Western Star 47X,2022,8168,3.84,24,2.94,-23.4,Decreasing,2022-FY,2025-12-01
PFP-00167,A-960-501-02-00,Coolant Pump,Western Star 47X,2023,5481,3.23,16,2.92,-9.6,Decreasing,2023-FY,2025-12-01
PFP-00168,A-960-501-02-00,Coolant Pump,Western Star 47X,2024,5469,6.25,39,7.13,14.1,Decreasing,2024-FY,2025-12-01
PFP-00169,A-960-501-05-00,Thermostat Housing,Freightliner 114SD,2021,646,1.27,2,3.1,144.1,Increasing,2021-FY,2025-12-01
PFP-00170,A-960-501-05-00,Thermostat Housing,Freightliner 114SD,2022,13778,1.51,12,0.87,-42.4,Increasing,2022-FY,2025-12-01
PFP-00171,A-960-501-05-00,Thermostat Housing,Freightliner 114SD,2023,8807,0.64,7,0.79,23.4,Increasing,2023-FY,2025-12-01
PFP-00172,A-960-501-05-00,Thermostat Housing,Freightliner 114SD,2024,8570,5.03,41,4.78,-5.0,Increasing,2024-FY,2025-12-01
PFP-00173,A-960-501-05-00,Thermostat Housing,Freightliner M2 112,2021,4847,6.38,46,9.49,48.7,Spike,2021-FY,2025-12-01
PFP-00174,A-960-501-05-00,Thermostat Housing,Freightliner M2 112,2022,6214,3.88,36,5.79,49.2,Decreasing,2022-FY,2025-12-01
PFP-00175,A-960-501-05-00,Thermostat Housing,Freightliner M2 112,2023,1724,2.34,1,0.58,-75.2,Stable,2023-FY,2025-12-01
PFP-00176,A-960-501-05-00,Thermostat Housing,Freightliner M2 112,2024,13495,2.42,27,2.0,-17.4,Increasing,2024-FY,2025-12-01
PFP-00177,A-960-501-05-00,Thermostat Housing,Freightliner Cascadia,2021,5047,2.48,12,2.38,-4.0,Stable,2021-FY,2025-12-01
PFP-00178,A-960-501-05-00,Thermostat Housing,Freightliner Cascadia,2022,8926,3.09,20,2.24,-27.5,Decreasing,2022-FY,2025-12-01
PFP-00179,A-960-501-05-00,Thermostat Housing,Freightliner Cascadia,2023,3016,1.73,6,1.99,15.0,Stable,2023-FY,2025-12-01
PFP-00180,A-960-501-05-00,Thermostat Housing,Freightliner Cascadia,2024,7849,3.05,16,2.04,-33.1,Stable,2024-FY,2025-12-01
PFP-00181,A-960-501-05-00,Thermostat Housing,Freightliner M2 106,2021,3490,2.0,5,1.43,-28.5,Increasing,2021-FY,2025-12-01
PFP-00182,A-960-501-05-00,Thermostat Housing,Freightliner M2 106,2022,9422,6.37,50,5.31,-16.6,Stable,2022-FY,2025-12-01
PFP-00183,A-960-501-05-00,Thermostat Housing,Freightliner M2 106,2023,5508,2.86,1,0.18,-93.7,Spike,2023-FY,2025-12-01
PFP-00184,A-960-501-05-00,Thermostat Housing,Freightliner M2 106,2024,1891,4.54,10,5.29,16.5,Increasing,2024-FY,2025-12-01
PFP-00185,A-960-501-05-00,Thermostat Housing,Western Star 49X,2021,1567,5.03,7,4.47,-11.1,Increasing,2021-FY,2025-12-01
PFP-00186,A-960-501-05-00,Thermostat Housing,Western Star 49X,2022,2004,6.04,13,6.49,7.5,Spike,2022-FY,2025-12-01
PFP-00187,A-960-501-05-00,Thermostat Housing,Western Star 49X,2023,4888,2.31,6,1.23,-46.8,Stable,2023-FY,2025-12-01
