audit_id,claim_id,action,action_date,performed_by,role,previous_status,new_status,notes,routing_rule
AUD-000018,WC-2023000009,Submitted,2025-04-09 00:00:00,DLR-008-TECH-04,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000019,WC-2023000009,Routed,2025-04-10 05:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 8. Routed to REVIEWER-01.,LOW_RISK_AUTO_APPROVE
AUD-000020,WC-2023000010,Submitted,2024-08-03 00:00:00,DLR-009-TECH-01,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000021,WC-2023000010,Routed,2024-08-04 15:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 36. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-000022,WC-2023000010,Approved,2024-08-05 01:00:00,REVIEWER-12,Claim Processor,Approved,Approved,Claim approved after review,
AUD-000023,WC-2023000011,Submitted,2024-11-19 00:00:00,DLR-020-TECH-05,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000024,WC-2023000011,Routed,2024-11-19 04:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 22. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-000025,WC-2023000012,Submitted,2024-11-28 00:00:00,DLR-005-TECH-03,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000026,WC-2023000012,Routed,2024-11-29 08:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 40. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-000027,WC-2023000013,Submitted,2025-08-23 00:00:00,DLR-020-TECH-04,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000028,WC-2023000013,Routed,2025-08-23 12:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 40. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-000029,WC-2023000013,Approved,2025-08-28 07:00:00,REVIEWER-04,Claim Processor,Approved,Approved,Claim approved after review,
AUD-000030,WC-2023000014,Submitted,2024-02-28 00:00:00,DLR-020-TECH-04,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000031,WC-2023000014,Routed,2024-02-28 21:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 12. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-000032,WC-2023000015,Submitted,2024-08-02 00:00:00,DLR-011-TECH-02,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000033,WC-2023000015,Routed,2024-08-03 00:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 33. Routed to REVIEWER-08.,LOW_RISK_AUTO_APPROVE
AUD-000034,WC-2023000016,Submitted,2024-02-23 00:00:00,DLR-003-TECH-08,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000035,WC-2023000016,Routed,2024-02-23 23:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 38. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-000036,WC-2023000017,Submitted,2024-06-20 00:00:00,DLR-006-TECH-08,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000037,WC-2023000017,Routed,2024-06-20 17:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 9. Routed to REVIEWER-05.,LOW_RISK_AUTO_APPROVE
AUD-000038,WC-2023000018,Submitted,2025-10-28 00:00:00,DLR-014-TECH-06,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000039,WC-2023000018,Routed,2025-10-28 15:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 3. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-000040,WC-2023000018,Rejected,2025-11-01 16:00:00,REVIEWER-12,Claim Processor,Approved,Rejected,Claim rejected: Duplicate attachment,
AUD-000041,WC-2023000019,Submitted,2024-07-26 00:00:00,DLR-011-TECH-03,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000042,WC-2023000019,Routed,2024-07-26 09:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 17. Routed to REVIEWER-03.,LOW_RISK_AUTO_APPROVE
AUD-000043,WC-2023000019,Rejected,2024-07-28 05:00:00,REVIEWER-03,Claim Processor,Approved,Rejected,Claim rejected: Missing documentation,
AUD-000044,WC-2023000020,Submitted,2025-08-20 00:00:00,DLR-015-TECH-02,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000045,WC-2023000020,Routed,2025-08-20 19:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 38. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-000046,WC-2023000021,Submitted,2023-08-03 00:00:00,DLR-015-TECH-03,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000047,WC-2023000021,Routed,2023-08-03 11:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 27. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-000048,WC-2023000022,Submitted,2024-04-07 00:00:00,DLR-004-TECH-02,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000049,WC-2023000022,Routed,2024-04-07 16:00:00,SYSTEM,Automated,Submitted,Under Review,Risk score: 63. Routed to REVIEWER-15.,MEDIUM_RISK_MANUAL_REVIEW
AUD-000050,WC-2023000023,Submitted,2025-03-21 00:00:00,DLR-015-TECH-01,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000051,WC-2023000023,Routed,2025-03-21 17:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 7. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
AUD-000052,WC-2023000023,Rejected,2025-03-25 13:00:00,REVIEWER-02,Claim Processor,Approved,Rejected,Claim rejected: Duplicate attachment,
AUD-000053,WC-2023000024,Submitted,2024-09-16 00:00:00,DLR-015-TECH-01,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000054,WC-2023000024,Routed,2024-09-17 05:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 14. Routed to REVIEWER-06.,LOW_RISK_AUTO_APPROVE
AUD-000055,WC-2023000024,Approved,2024-09-18 05:00:00,REVIEWER-06,Claim Processor,Approved,Approved,Claim approved after review,
AUD-000056,WC-2023000025,Submitted,2023-01-22 00:00:00,DLR-015-TECH-06,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000057,WC-2023000025,Routed,2023-01-22 21:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 7. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-000058,WC-2023000026,Submitted,2025-08-18 00:00:00,DLR-010-TECH-02,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000059,WC-2023000026,Routed,2025-08-19 03:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 7. Routed to REVIEWER-05.,LOW_RISK_AUTO_APPROVE
AUD-000060,WC-2023000026,Approved,2025-08-23 07:00:00,REVIEWER-05,Claim Processor,Approved,Approved,Claim approved after review,
AUD-000061,WC-2023000027,Submitted,2024-12-04 00:00:00,DLR-004-TECH-01,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000062,WC-2023000027,Routed,2024-12-04 19:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 10. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-000063,WC-2023000027,Approved,2024-12-05 16:00:00,REVIEWER-04,Claim Processor,Approved,Approved,Claim approved after review,
AUD-000064,WC-2023000028,Submitted,2024-08-08 00:00:00,DLR-002-TECH-03,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000065,WC-2023000028,Routed,2024-08-08 14:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 34. Routed to REVIEWER-03.,LOW_RISK_AUTO_APPROVE
AUD-000066,WC-2023000029,Submitted,2023-08-27 00:00:00,DLR-001-TECH-09,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000067,WC-2023000029,Routed,2023-08-28 04:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 33. Routed to REVIEWER-14.,LOW_RISK_AUTO_APPROVE
AUD-000068,WC-2023000029,Rejected,2023-08-28 16:00:00,REVIEWER-14,Claim Processor,Approved,Rejected,Claim rejected: Parts cost inflated,
AUD-000069,WC-2023000030,Submitted,2024-02-24 00:00:00,DLR-004-TECH-04,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000070,WC-2023000030,Routed,2024-02-24 08:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 29. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-000071,WC-2023000030,Rejected,2024-02-27 10:00:00,REVIEWER-07,Claim Processor,Approved,Rejected,Claim rejected: Duplicate attachment,
AUD-000072,WC-2023000031,Submitted,2023-06-09 00:00:00,DLR-013-TECH-04,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000073,WC-2023000031,Routed,2023-06-10 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 40. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-000074,WC-2023000032,Submitted,2024-11-17 00:00:00,DLR-013-TECH-02,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000075,WC-2023000032,Routed,2024-11-18 10:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 22. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-000076,WC-2023000033,Submitted,2025-09-06 00:00:00,DLR-014-TECH-02,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000077,WC-2023000033,Routed,2025-09-07 01:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 19. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
AUD-000078,WC-2023000033,Rejected,2025-09-08 14:00:00,REVIEWER-02,Claim Processor,Approved,Rejected,Claim rejected: SRT exceeded,
AUD-000079,WC-2023000034,Submitted,2024-07-16 00:00:00,DLR-015-TECH-07,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000080,WC-2023000034,Routed,2024-07-17 00:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 34. Routed to REVIEWER-11.,LOW_RISK_AUTO_APPROVE
AUD-000081,WC-2023000034,Rejected,2024-07-19 05:00:00,REVIEWER-11,Claim Processor,Approved,Rejected,Claim rejected: Warranty expired,
AUD-000082,WC-2023000035,Submitted,2025-12-28 00:00:00,DLR-001-TECH-01,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000083,WC-2023000035,Routed,2025-12-29 23:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 23. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-000084,WC-2023000035,Rejected,2025-12-31 14:00:00,REVIEWER-07,Claim Processor,Approved,Rejected,Claim rejected: Missing documentation,
AUD-000085,WC-2023000036,Submitted,2023-02-17 00:00:00,DLR-010-TECH-08,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000086,WC-2023000036,Routed,2023-02-18 19:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 4. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
AUD-000087,WC-2023000037,Submitted,2025-12-21 00:00:00,DLR-004-TECH-06,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000088,WC-2023000037,Routed,2025-12-23 00:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 17. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
AUD-000089,WC-2023000037,Approved,2025-12-26 03:00:00,REVIEWER-02,Claim Processor,Approved,Approved,Claim approved after review,
AUD-000090,WC-2023000038,Submitted,2024-11-13 00:00:00,DLR-013-TECH-01,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000091,WC-2023000038,Routed,2024-11-14 20:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 3. Routed to REVIEWER-08.,LOW_RISK_AUTO_APPROVE
AUD-000092,WC-2023000039,Submitted,2023-03-24 00:00:00,DLR-018-TECH-06,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000093,WC-2023000039,Routed,2023-03-24 05:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 22. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-000094,WC-2023000040,Submitted,2025-03-07 00:00:00,DLR-016-TECH-03,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000095,WC-2023000040,Routed,2025-03-08 09:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 13. Routed to REVIEWER-11.,LOW_RISK_AUTO_APPROVE
AUD-000096,WC-2023000041,Submitted,2024-06-05 00:00:00,DLR-016-TECH-01,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000097,WC-2023000041,Routed,2024-06-06 18:00:00,SYSTEM,Automated,Submitted,Under Review,Risk score: 66. Routed to REVIEWER-11.,MEDIUM_RISK_MANUAL_REVIEW
AUD-000098,WC-2023000042,Submitted,2025-03-19 00:00:00,DLR-019-TECH-06,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000099,WC-2023000042,Routed,2025-03-19 14:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 14. Routed to REVIEWER-11.,LOW_RISK_AUTO_APPROVE
AUD-000100,WC-2023000043,Submitted,2023-07-28 00:00:00,DLR-018-TECH-02,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000101,WC-2023000043,Routed,2023-07-28 14:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 9. Routed to REVIEWER-03.,LOW_RISK_AUTO_APPROVE
AUD-000102,WC-2023000044,Submitted,2025-03-12 00:00:00,DLR-018-TECH-12,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000103,WC-2023000044,Routed,2025-03-13 17:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 12. Routed to REVIEWER-12.,LOW_RISK_AUTO_APPROVE
AUD-000104,WC-2023000045,Submitted,2025-09-19 00:00:00,DLR-002-TECH-14,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000105,WC-2023000045,Routed,2025-09-19 08:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 3. Routed to REVIEWER-03.,LOW_RISK_AUTO_APPROVE
AUD-000106,WC-2023000046,Submitted,2024-11-19 00:00:00,DLR-014-TECH-05,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000107,WC-2023000046,Routed,2024-11-20 04:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 18. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-000108,WC-2023000047,Submitted,2025-11-27 00:00:00,DLR-008-TECH-06,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000109,WC-2023000047,Routed,2025-11-27 01:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 35. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-000110,WC-2023000048,Submitted,2023-10-01 00:00:00,DLR-016-TECH-06,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000111,WC-2023000048,Routed,2023-10-03 00:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 18. Routed to REVIEWER-11.,LOW_RISK_AUTO_APPROVE
AUD-000112,WC-2023000049,Submitted,2024-03-10 00:00:00,DLR-011-TECH-04,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000113,WC-2023000049,Routed,2024-03-10 10:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 9. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-000114,WC-2023000049,Rejected,2024-03-11 03:00:00,REVIEWER-07,Claim Processor,Approved,Rejected,Claim rejected: Warranty expired,
AUD-000115,WC-2023000050,Submitted,2023-10-09 00:00:00,DLR-001-TECH-07,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000116,WC-2023000050,Routed,2023-10-10 19:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 21. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-000117,WC-2023000051,Submitted,2025-12-09 00:00:00,DLR-004-TECH-04,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000118,WC-2023000051,Routed,2025-12-09 16:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 30. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-000119,WC-2023000052,Submitted,2023-07-08 00:00:00,DLR-003-TECH-05,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000120,WC-2023000052,Routed,2023-07-08 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 17. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-000121,WC-2023000053,Submitted,2023-11-13 00:00:00,DLR-007-TECH-05,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000122,WC-2023000053,Routed,2023-11-13 12:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 20. Routed to REVIEWER-01.,LOW_RISK_AUTO_APPROVE
AUD-000123,WC-2023000053,Approved,2023-11-13 14:00:00,REVIEWER-01,Claim Processor,Approved,Approved,Claim approved after review,
AUD-000124,WC-2023000054,Submitted,2023-09-07 00:00:00,DLR-006-TECH-05,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000125,WC-2023000054,Routed,2023-09-08 14:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 24. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-000126,WC-2023000054,Approved,2023-09-09 03:00:00,REVIEWER-07,Claim Processor,Approved,Approved,Claim approved after review,
AUD-000127,WC-2023000055,Submitted,2025-02-24 00:00:00,DLR-009-TECH-02,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000128,WC-2023000055,Routed,2025-02-25 15:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 10. Routed to REVIEWER-05.,LOW_RISK_AUTO_APPROVE
AUD-000129,WC-2023000055,Rejected,2025-03-01 10:00:00,REVIEWER-05,Claim Processor,Approved,Rejected,Claim rejected: Duplicate attachment,
AUD-000130,WC-2023000056,Submitted,2024-12-02 00:00:00,DLR-014-TECH-07,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000131,WC-2023000056,Routed,2024-12-03 12:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 3. Routed to REVIEWER-02.,LOW_RISK_AUTO_APPROVE
AUD-000132,WC-2023000057,Submitted,2023-01-08 00:00:00,DLR-002-TECH-11,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000133,WC-2023000057,Routed,2023-01-09 23:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 29. Routed to REVIEWER-05.,LOW_RISK_AUTO_APPROVE
AUD-000134,WC-2023000058,Submitted,2023-12-18 00:00:00,DLR-009-TECH-04,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000135,WC-2023000058,Routed,2023-12-18 13:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 34. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-000136,WC-2023000059,Submitted,2024-09-21 00:00:00,DLR-014-TECH-03,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000137,WC-2023000059,Routed,2024-09-21 09:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 3. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-000138,WC-2023000060,Submitted,2025-03-21 00:00:00,DLR-003-TECH-02,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000139,WC-2023000060,Routed,2025-03-21 10:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 9. Routed to REVIEWER-01.,LOW_RISK_AUTO_APPROVE
AUD-000140,WC-2023000061,Submitted,2025-01-14 00:00:00,DLR-014-TECH-03,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000141,WC-2023000061,Routed,2025-01-15 00:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 9. Routed to REVIEWER-15.,LOW_RISK_AUTO_APPROVE
AUD-000142,WC-2023000061,Approved,2025-01-20 00:00:00,REVIEWER-15,Claim Processor,Approved,Approved,Claim approved after review,
AUD-000143,WC-2023000062,Submitted,2025-11-20 00:00:00,DLR-015-TECH-04,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000144,WC-2023000062,Routed,2025-11-20 09:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 7. Routed to REVIEWER-03.,LOW_RISK_AUTO_APPROVE
AUD-000145,WC-2023000063,Submitted,2025-04-16 00:00:00,DLR-006-TECH-07,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000146,WC-2023000063,Routed,2025-04-16 23:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 3. Routed to REVIEWER-06.,LOW_RISK_AUTO_APPROVE
AUD-000147,WC-2023000064,Submitted,2025-11-27 00:00:00,DLR-014-TECH-04,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000148,WC-2023000064,Routed,2025-11-27 10:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 12. Routed to REVIEWER-13.,LOW_RISK_AUTO_APPROVE
AUD-000149,WC-2023000065,Submitted,2023-09-24 00:00:00,DLR-020-TECH-07,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000150,WC-2023000065,Routed,2023-09-24 06:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 19. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-000151,WC-2023000066,Submitted,2024-12-24 00:00:00,DLR-007-TECH-10,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000152,WC-2023000066,Routed,2024-12-24 05:00:00,SYSTEM,Automated,Submitted,Under Review,Risk score: 48. Routed to REVIEWER-04.,BORDERLINE_RISK_SPOT_CHECK
AUD-000153,WC-2023000067,Submitted,2024-09-10 00:00:00,DLR-009-TECH-02,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000154,WC-2023000067,Routed,2024-09-11 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 23. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-000155,WC-2023000068,Submitted,2023-09-24 00:00:00,DLR-001-TECH-12,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000156,WC-2023000068,Routed,2023-09-24 22:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 8. Routed to REVIEWER-08.,LOW_RISK_AUTO_APPROVE
AUD-000157,WC-2023000069,Submitted,2025-04-12 00:00:00,DLR-010-TECH-12,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000158,WC-2023000069,Routed,2025-04-13 00:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 23. Routed to REVIEWER-06.,LOW_RISK_AUTO_APPROVE
AUD-000159,WC-2023000070,Submitted,2023-02-25 00:00:00,DLR-019-TECH-04,Dealer Technician,,Submitted,Claim submitted via PRISM Manual Entry,
AUD-000160,WC-2023000070,Routed,2023-02-26 21:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 26. Routed to REVIEWER-14.,LOW_RISK_AUTO_APPROVE
AUD-000161,WC-2023000071,Submitted,2024-02-04 00:00:00,DLR-006-TECH-03,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000162,WC-2023000071,Routed,2024-02-05 15:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 14. Routed to REVIEWER-08.,LOW_RISK_AUTO_APPROVE
AUD-000163,WC-2023000072,Submitted,2023-09-04 00:00:00,DLR-016-TECH-01,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000164,WC-2023000072,Routed,2023-09-05 07:00:00,SYSTEM,Automated,Submitted,Under Review,Risk score: 60. Routed to REVIEWER-09.,MEDIUM_RISK_MANUAL_REVIEW
AUD-000165,WC-2023000073,Submitted,2025-02-23 00:00:00,DLR-004-TECH-06,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000166,WC-2023000073,Routed,2025-02-23 17:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 12. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-000167,WC-2023000073,Rejected,2025-02-27 15:00:00,REVIEWER-09,Claim Processor,Approved,Rejected,Claim rejected: SRT exceeded,
AUD-000168,WC-2023000074,Submitted,2025-12-28 00:00:00,DLR-018-TECH-08,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000169,WC-2023000074,Routed,2025-12-28 12:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 37. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
